pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Pyrimidine biosynthesis (Reactome),2,5,20.950773098097137,0.009950161699847998,Uridine Monophosphate;L-Glutamic Acid,0.37258807806773026,Reactome
Metabolic disorders of biological oxidation enzymes (Reactome),2,9,9.00380671528728,0.033047293101906704,Vitamin D3;L-Glutamic Acid,0.37258807806773026,Reactome
Nucleotide biosynthesis (Reactome),2,11,6.992559105024353,0.04850364544809185,Uridine Monophosphate;L-Glutamic Acid,0.37258807806773026,Reactome
Amino acid transport defects (IEMs) (WikiPathways),2,12,6.28831146012227,0.05705118313700242,D-Tyrosine;L-Glutamic Acid,0.37258807806773026,WikiPathways
Interconversion of nucleotide di- and triphosphates (Reactome),2,12,6.28831146012227,0.05705118313700242,Uridine Monophosphate;L-Glutamic Acid,0.37258807806773026,Reactome
Metabolic pathways of fibroblasts (WikiPathways),2,13,5.7101325843981225,0.06609032317907859,D-Glucose 6-Phosphate;L-Glutamic Acid,0.37258807806773026,WikiPathways
Urea cycle and associated pathways (WikiPathways),2,13,5.7101325843981225,0.06609032317907859,Uridine Monophosphate;L-Glutamic Acid,0.37258807806773026,WikiPathways
Synthesis of substrates in N-glycan biosythesis (Reactome),2,15,4.820641741589409,0.08549073864388151,Uridine Monophosphate;L-Glutamic Acid,0.37258807806773026,Reactome
Amino Sugar Metabolism (KEGG),2,16,4.469696701225081,0.09578011862005618,D-Glucose 6-Phosphate;L-Glutamic Acid,0.37258807806773026,KEGG
Pyrimidine metabolism and related diseases (WikiPathways),2,16,4.469696701225081,0.09578011862005618,Uridine Monophosphate;L-Glutamic Acid,0.37258807806773026,WikiPathways
Activation of NMDA receptors and postsynaptic events (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Branched-chain amino acid catabolism (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Carboxyterminal post-translational modifications of tubulin (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Deadenylation-dependent mRNA decay (Reactome),1,5,7.5143316671963865,0.15640723837146808,Uridine Monophosphate,0.37258807806773026,Reactome
Glutathione conjugation (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Glutathione synthesis and recycling (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Metabolism of folate and pterines (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Paracetamol ADME (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Post NMDA receptor activation events (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Serine biosynthesis (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Synthesis of Leukotrienes (LT) and Eoxins (EX) (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Synthesis of UDP-N-acetyl-glucosamine (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
TP53 Regulates Metabolic Genes (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Tyrosine catabolism (Reactome),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,Reactome
Vitamin B6-dependent and responsive disorders (WikiPathways),1,5,7.5143316671963865,0.15640723837146808,L-Glutamic Acid,0.37258807806773026,WikiPathways
Azathioprine ADME (Reactome),1,6,6.0108288227172055,0.18476329758587262,L-Glutamic Acid,0.37258807806773026,Reactome
Cannabinoid receptor signaling (WikiPathways),1,6,6.0108288227172055,0.18476329758587262,L-Glutamic Acid,0.37258807806773026,WikiPathways
Disorders of folate metabolism and transport (WikiPathways),1,6,6.0108288227172055,0.18476329758587262,L-Glutamic Acid,0.37258807806773026,WikiPathways
Disorders of fructose metabolism (WikiPathways),1,6,6.0108288227172055,0.18476329758587262,D-Glucose 6-Phosphate,0.37258807806773026,WikiPathways
Glycogen metabolism (Reactome),1,6,6.0108288227172055,0.18476329758587262,Uridine Monophosphate,0.37258807806773026,Reactome
Organic anion transporters (Reactome),1,6,6.0108288227172055,0.18476329758587262,L-Glutamic Acid,0.37258807806773026,Reactome
Tryptophan metabolism (KEGG),1,6,6.0108288227172055,0.18476329758587262,L-Glutamic Acid,0.37258807806773026,KEGG
Urea cycle (Reactome),1,6,6.0108288227172055,0.18476329758587262,L-Glutamic Acid,0.37258807806773026,Reactome
Urea cycle and related diseases (WikiPathways),1,6,6.0108288227172055,0.18476329758587262,L-Glutamic Acid,0.37258807806773026,WikiPathways
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),1,6,6.0108288227172055,0.18476329758587262,D-Glucose 6-Phosphate,0.37258807806773026,WikiPathways
Amino acid metabolism pathway excerpt: histidine catabolism extension (WikiPathways),1,7,5.006434349722499,0.21221234480520323,L-Glutamic Acid,0.37258807806773026,WikiPathways
Arachidonic Acid Metabolism (KEGG),1,7,5.006434349722499,0.21221234480520323,L-Glutamic Acid,0.37258807806773026,KEGG
Cell recruitment (pro-inflammatory response) (Reactome),1,7,5.006434349722499,0.21221234480520323,Uridine Monophosphate,0.37258807806773026,Reactome
Lactate shuttle in glial cells (WikiPathways),1,7,5.006434349722499,0.21221234480520323,D-Glucose 6-Phosphate,0.37258807806773026,WikiPathways
Lysine catabolism (Reactome),1,7,5.006434349722499,0.21221234480520323,L-Glutamic Acid,0.37258807806773026,Reactome
Lysine degradation (KEGG),1,7,5.006434349722499,0.21221234480520323,L-Glutamic Acid,0.37258807806773026,KEGG
NAD biosynthesis II from tryptophan (WikiPathways),1,7,5.006434349722499,0.21221234480520323,L-Glutamic Acid,0.37258807806773026,WikiPathways
Nicotinate metabolism (Reactome),1,7,5.006434349722499,0.21221234480520323,L-Glutamic Acid,0.37258807806773026,Reactome
Orexin receptor pathway (WikiPathways),1,7,5.006434349722499,0.21221234480520323,L-Glutamic Acid,0.37258807806773026,WikiPathways
Phenylalanine and Tyrosine Metabolism (KEGG),1,7,5.006434349722499,0.21221234480520323,L-Glutamic Acid,0.37258807806773026,KEGG
Purinergic signaling in leishmaniasis infection (Reactome),1,7,5.006434349722499,0.21221234480520323,Uridine Monophosphate,0.37258807806773026,Reactome
Pyrimidine salvage (Reactome),1,7,5.006434349722499,0.21221234480520323,Uridine Monophosphate,0.37258807806773026,Reactome
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),1,8,4.287510747859555,0.23878191159086282,L-Glutamic Acid,0.37258807806773026,Reactome
Gluconeogenesis (Reactome),1,8,4.287510747859555,0.23878191159086282,L-Glutamic Acid,0.37258807806773026,Reactome
Glutathione metabolism (WikiPathways),1,8,4.287510747859555,0.23878191159086282,L-Glutamic Acid,0.37258807806773026,WikiPathways
Histidine catabolism (Reactome),1,8,4.287510747859555,0.23878191159086282,L-Glutamic Acid,0.37258807806773026,Reactome
Nicotinate and nicotinamide metabolism (KEGG),1,8,4.287510747859555,0.23878191159086282,L-Glutamic Acid,0.37258807806773026,KEGG
Serine metabolism (WikiPathways),1,8,4.287510747859555,0.23878191159086282,L-Glutamic Acid,0.37258807806773026,WikiPathways
Thiamine metabolic pathways (WikiPathways),1,8,4.287510747859555,0.23878191159086282,D-Glucose 6-Phosphate,0.37258807806773026,WikiPathways
Trans-sulfuration pathway (WikiPathways),1,8,4.287510747859555,0.23878191159086282,L-Glutamic Acid,0.37258807806773026,WikiPathways
Tyrosine metabolism (KEGG),1,8,4.287510747859555,0.23878191159086282,L-Glutamic Acid,0.37258807806773026,KEGG
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),1,9,3.7480825419043233,0.26449873890198206,L-Glutamic Acid,0.37258807806773026,WikiPathways
Aspartate and asparagine metabolism (Reactome),1,9,3.7480825419043233,0.26449873890198206,L-Glutamic Acid,0.37258807806773026,Reactome
Biogenic amine synthesis (WikiPathways),1,9,3.7480825419043233,0.26449873890198206,L-Glutamic Acid,0.37258807806773026,WikiPathways
Degradation of cysteine and homocysteine (Reactome),1,9,3.7480825419043233,0.26449873890198206,L-Glutamic Acid,0.37258807806773026,Reactome
