Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
Acrylic Acid,Amide-Neg-000001,21,0.746885633390364,21.116565232078624,21.062901907098677,-0.0036709735731192948,0.9951447848445479,1,FALSE,FALSE,Higher in Females,Acrylic Acid
Glycine,Amide-Neg-000011,85,0.47048642205878966,18.422342349076295,18.22467983348013,-0.01556303783646986,0.9951447848445479,1,FALSE,FALSE,Higher in Females,Glycine
Glycolic Acid,Amide-Neg-000015,68,0.8398599725400034,18.63339002001034,18.54390219604784,-0.006945308896617476,1,1,FALSE,FALSE,Higher in Females,Glycolic Acid
Pyruvic Acid,Amide-Neg-000032,19,0.9361862934730594,19.096041097158587,19.127928908473706,0.0024070967989246396,1,1,FALSE,FALSE,Higher in Males,Pyruvic Acid
Dl-Alanine,Amide-Neg-000047,49,0.1939308522824107,15.66251411444213,16.03121792271259,0.03356822434817358,0.9951447848445479,1,FALSE,FALSE,Higher in Males,Dl-Alanine
Dl-Lactic Acid,Amide-Neg-000051,78,0.7508318840891169,20.035116917769294,20.03750190662132,1.7172881106341674e-4,0.9951447848445479,1,FALSE,FALSE,Higher in Males,Dl-Lactic Acid
L-(+)-Lactic Acid,Amide-Neg-000066,63,0.8690658904880387,18.54510094598674,18.497671754475324,-0.003694426296468141,1,1,FALSE,FALSE,Higher in Females,L-(+)-Lactic Acid
Isobutyric Acid,Amide-Neg-000078,15,0.6889205558044607,16.116052407929942,16.33013860768572,0.019038634204265895,0.9951447848445479,1,FALSE,FALSE,Higher in Males,Isobutyric Acid
Methanesulfonic Acid,Amide-Neg-000089,37,0.046386593281398644,27.794856012144148,27.970380121944924,0.00908195200367748,0.9951447848445479,1,FALSE,FALSE,Higher in Males,Methanesulfonic Acid
Levulinic Acid,Amide-Neg-000094,68,0.8398599725400034,20.408969667422244,20.520741180686034,0.007879489270614933,1,1,FALSE,FALSE,Higher in Males,Levulinic Acid
Ethyl Acetoacetate,Amide-Neg-000104,65,0.7074539677020747,21.65502199784386,21.73773773949225,0.005500168025294902,0.9951447848445479,1,FALSE,FALSE,Higher in Males,Ethyl Acetoacetate
2-Oxobutanoic Acid,Amide-Neg-000108,52,0.4060484491047267,16.496225926136052,16.631584683193847,0.011789640831087786,0.9951447848445479,1,FALSE,FALSE,Higher in Males,2-Oxobutanoic Acid
Γ-Aminobutyric Acid,Amide-Neg-000114,33,0.30668506590418065,21.074801042838807,20.621477087384594,-0.031371336811993604,0.9951447848445479,1,FALSE,FALSE,Higher in Females,Γ-Aminobutyric Acid
Malonic Acid,Amide-Neg-000116,71,0.9769702553219757,18.847843461570317,18.86579373288496,0.0013733371422263653,1,1,FALSE,FALSE,Higher in Males,Malonic Acid
3-Hydroxybutyric Acid,Amide-Neg-000118,88,0.3708443333042211,22.295986048121662,22.160339446088823,-0.008804024408565397,0.9951447848445479,1,FALSE,FALSE,Higher in Females,3-Hydroxybutyric ...
"D,L-Serine",Amide-Neg-000119,90,0.3123214216762162,18.22858489021929,17.941383044354197,-0.022911460018356814,0.9951447848445479,1,FALSE,FALSE,Higher in Females,"D,L-Serine"
D-Glyceric Acid,Amide-Neg-000135,85,0.47048642205878966,20.456395852938744,19.665741150263578,-0.05686742493836053,0.9951447848445479,1,FALSE,FALSE,Higher in Females,D-Glyceric Acid
"2,6-Dihydroxypyridine Hcl",Amide-Neg-000141,34,0.8748259769492438,15.862398498020795,15.934648684915494,0.006556279589515778,1,1,FALSE,FALSE,Higher in Males,"2,6-Dihydroxypyri..."
Pyrrole-2-Carboxylic Acid,Amide-Neg-000142,35,0.0537840888623983,16.498673180179807,15.24421040657172,-0.11408858186188374,0.9951447848445479,1,FALSE,FALSE,Higher in Females,Pyrrole-2-Carboxy...
Histamine,Amide-Neg-000145,80,0.6650055421020291,18.348039696657565,18.21299974064921,-0.010657375380912321,0.9951447848445479,1,FALSE,FALSE,Higher in Females,Histamine
2-Furoic Acid,Amide-Neg-000149,112,0.022576062523133586,23.417263175414433,23.385696450331018,-0.0019460805472396316,0.9951447848445479,1,FALSE,FALSE,Higher in Females,2-Furoic Acid
