Name,VIP_comp1,Compound.ID,Super.Class,Class
D-Glucose 6-Phosphate,2.6878907328806054,Amide-Neg-001431,Organic oxygen compounds,Organooxygen compounds
Bis(2-Ethylhexyl) Adipate,2.3174770916964618,C8-Pos-001101,Lipids and lipid-like molecules,Fatty Acyls
"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",2.2820771764244934,C8-Pos-001592,Lipids and lipid-like molecules,Prenol lipids
Pe(O-17:3_21:1),2.181768951486196,C8-Pos-004072,Lipids and lipid-like molecules,Glycerophospholipids
Citroflex A-4,2.1736054469527035,C8-Pos-001356,Organic acids and derivatives,Carboxylic acids and derivatives
Vitamin D3,2.1180448650189323,C8-Pos-001060,Lipids and lipid-like molecules,Steroids and steroid derivatives
2-Sc S-(2-Succinyl)-L-Cysteine,2.1104633071273535,Amide-Pos-000902,Organic acids and derivatives,Carboxylic acids and derivatives
Docosanamide,2.1071457906637923,C8-Pos-000820,Lipids and lipid-like molecules,Fatty Acyls
Risedronic Acid,2.100587641040758,Amide-Pos-001135,Organic acids and derivatives,Organic phosphonic acids and derivatives
Lpc 20:3-Sn1,2.0523512741542107,C8-Pos-002542,Lipids and lipid-like molecules,Glycerophospholipids
Pg(O-29:8_21:6),2.0111143994994056,C8-Pos-005548,Lipids and lipid-like molecules,Glycerophospholipids
Υ-L-Glutamyl-L-Glutamic Acid,1.9646809050294345,Amide-Pos-001105,Organic acids and derivatives,Carboxylic acids and derivatives
Adenylyl(3'-5')Cytidine,1.963914420141871,C18-Pos-001644,"Nucleosides, nucleotides, and analogues",(3'->5')-dinucleotides and analogues
3-Hexadecyl-4-Methoxy-5-Methyloxolan-2-One,1.8702760688671745,C8-Pos-000955,Organoheterocyclic compounds,Lactones
"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",1.8399057724427215,Amide-Pos-001385,Organoheterocyclic compounds,Quinolines and derivatives
