Name,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50
Label,F,F,M,F,M,F,M,M,F,F,M,F,M,F,F,M,F,M,F,F,M,M,M,M
(+/-)8-HEPE,NA,588888.801647607,519159.419567314,653326.954796698,391198.088384131,NA,404229.373713377,NA,1198661.46328551,443622.787181214,505514.036729309,NA,485337.688776741,323859.597088728,NA,298829.873649839,646663.168680994,422327.826713929,319474.301030028,265205.644496259,202230.352007457,257762.227493456,NA,453971.213862614
(-)-Corey lactone,971223.245453641,504154.322815955,491544.216281905,384986.647501875,416436.847388411,466935.545386281,528527.156293636,460176.755620603,429127.447819113,400121.914980721,644015.789045534,443838.422465705,465618.416062977,418670.761389446,434379.2868654,472925.600928489,457909.648509462,347808.767791188,362228.986918257,398836.31187071,384968.437370633,471752.330229273,412079.650859355,733292.201396227
"(2-aminoethoxy)[2,3-bis(octadecanoyloxy)propoxy]phosphinic acid",1419487.47904821,1498201.03190283,1268603.74854007,1042790.98057766,1219474.10321979,2035607.14817389,1397979.45041245,1289400.13854274,1711370.79896528,1402744.4510675,2790821.16989151,3398196.5541027,1564345.02561879,1824010.42694805,1912539.31574601,1612756.74237246,1889814.59426132,2568054.5582787,3082974.50370871,1807455.30720139,2850560.98813499,1373989.66215199,2600397.04121216,1730936.21997605
"(2R)-2,3-Dihydroxypropanoic acid",722301.997610909,677441.517326747,1045239.06988713,954014.865059467,1649927.09657046,1509404.85106544,1728136.25811666,842017.147095689,615979.642491552,292556.453299083,420641.480690209,389854.393948169,363948.515229338,225292.642647678,878253.957745851,518862.206760587,471523.040449679,452581.527760096,534542.204548878,231206.334239009,691699.503083447,532400.469127532,671057.13645801,573912.394385191
(2R)-3-Hydroxyisovaleroylcarnitine,485588.500786273,775475.403953359,1416975.59068714,1025025.18419514,286216.430308636,602384.413902336,820183.047372681,NA,960043.404361862,362676.159853667,313478.531566834,NA,273086.655714124,281774.555961213,614012.9785513,577059.622713869,591298.910628645,1235258.18484375,1768376.69111651,462111.854072204,607514.631064593,1265022.80069538,833959.353712169,769651.797075873
(3-Oxo-2-piperazinyl)acetic acid,451541.203996406,1976638.27901007,4235207.60507565,754510.47705426,4572528.0515756,1563373.23081074,2727944.972374,718923.55392964,473661.642648377,758687.459816718,NA,1777310.76496215,3785826.8050682,601254.826294308,2360938.4951732,1259657.42131453,1971301.59260911,1900967.79592787,2801728.77191017,565137.481005483,2780204.5427673,1023003.95929109,1425382.82680264,3901494.29322904
"(3aR,8R,8aR,9aR)-8-Hydroxy-8a-methyl-3,5-bis(methylene)decahydronaphtho[2,3-b]furan-2(3H)-one",249189.435492928,247822.100103193,284476.921264378,241164.412974629,234571.242928496,264599.874598623,264269.652008922,202651.561685523,214402.367058653,223345.119420859,256068.335062189,222182.192173602,220912.555054616,198677.934280727,259774.751512342,242904.055338875,250801.685804921,258282.070016368,578021.332737814,NA,234402.340316151,232304.173563605,217597.393768258,159765.118776803
(5Z)-3-Hydroxy-5-dodecenoic acid,251968.917795201,192397.116160367,136105.228593969,579356.607556755,186171.89869147,194763.482683478,214267.956303338,191273.516360313,167378.607217751,177693.278147154,165594.473619127,171040.806480199,263563.115529745,196092.36922956,221850.565216451,160241.61822965,904390.05566861,242000.270671952,199387.687780362,203593.076728314,196122.578926985,213411.713893189,207169.681238545,120271.202694452
(E)-5-(But-1-en-1-yl)-6-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,188877.079839786,241213.633896967,253796.384517511,225215.109176193,183803.165348591,227588.153399621,239449.677567916,238398.502796087,369137.462768393,185891.548219074,221436.933868146,203755.17645367,347244.310153005,199273.113043884,235209.289373942,321412.289818663,364006.895447684,242284.710692413,235723.285181643,185025.427175368,259355.087323719,224838.883011983,243187.997421726,221040.404623673
