truncated_label,full_label
Organic sulfonic ...,Organic sulfonic acids and derivatives
Carboximidic acid...,Carboximidic acids and derivatives
Sulfinic acids an...,Sulfinic acids and derivatives
Organic phosphori...,Organic phosphoric acids and derivatives
Hydroxy acids and...,Hydroxy acids and derivatives
Phenylpropanoic a...,Phenylpropanoic acids
Organonitrogen co...,Organonitrogen compounds
Depsides and deps...,Depsides and depsidones
Organic acids and...,Organic acids and derivatives
(5'->5')-dinucleo...,(5'->5')-dinucleotides
