truncated_label,full_label
Choline (Amide-Po...,Choline (Amide-Pos-000001)
1-Palmitoylglycer...,1-Palmitoylglycerol (C8-Pos-000001)
Spectral Match To...,Spectral Match To 1-(9z-Octadecenoyl)-2-Tetradecanoyl-Sn-Glycero-3-Phosphocholine From Nist14 (C8-Pos-000002)
Erucamide (C8-Pos...,Erucamide (C8-Pos-000003)
1-Stearoylglycero...,1-Stearoylglycerol (C8-Pos-000005)
2-Oleoyl-1-Palmit...,2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine (C8-Pos-000004)
Pc 14:0_16:1 (C8-...,Pc 14:0_16:1 (C8-Pos-000007)
Phosphocholine (A...,Phosphocholine (Amide-Pos-000023)
"1,2-Dipalmitoleoy...","1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine (C8-Pos-000008)"
Creatine (Amide-P...,Creatine (Amide-Pos-000025)
1-Palmitoyl-2-Lin...,1-Palmitoyl-2-Linoleoyl-Sn-Glycero-3-Phosphocholine (C8-Pos-000011)
Hypoxanthine (Ami...,Hypoxanthine (Amide-Pos-000019)
Taurine (Amide-Po...,Taurine (Amide-Pos-000028)
"1,2-Dipentadecano...","1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine (C8-Pos-000010)"
"1,2-Dioleoyl-Sn-G...","1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine (C8-Pos-000014)"
1-Hexadecanoyl-2-...,"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine (C8-Pos-000012)"
"N,N-Diethylethano...","N,N-Diethylethanolamine (Amide-Pos-000022)"
Palmitoyleicosape...,Palmitoyleicosapentaenoyl Phosphatidylcholine (C8-Pos-000020)
Adenine (Amide-Po...,Adenine (Amide-Pos-000035)
1-Stearoyl-2-Arac...,1-Stearoyl-2-Arachidonyl-Sn-Glycero-3-Phosphocholine (C8-Pos-000019)
1-Palmitoyl-Sn-Gl...,1-Palmitoyl-Sn-Glycero-3-Phosphocholine (C8-Pos-000009)
Arachidonic Acid ...,Arachidonic Acid (C8-Neg-000001)
