truncated_label,full_label
kegg:map00270;keg...,kegg:map00270;kegg:map00564;reactome:R-HSA-112310;reactome:R-HSA-112311;reactome:R-HSA-1483101;reactome:R-HSA-1483115;reactome:R-HSA-1483148;reactome:R-HSA-1483166;reactome:R-HSA-1483191;reactome:R-HSA-1483255;reactome:R-HSA-2029485;reactome:R-HSA-264642;reactome:R-HSA-549127;reactome:R-HSA-549132;reactome:R-HSA-6798163;reactome:R-HSA-6814848;wiki:WP1870;wiki:WP1871;wiki:WP241;wiki:WP2525;wiki:WP2533;wiki:WP2747;wiki:WP3580;wiki:WP3933;wiki:WP4090;wiki:WP4195;wiki:WP4288;wiki:WP4722;wiki:WP4949;wiki:WP5219;wiki:WP528;wiki:WP5352;wiki:WP550
reactome:R-HSA-11...,reactome:R-HSA-110331;reactome:R-HSA-425397;reactome:R-HSA-73884;reactome:R-HSA-73927;reactome:R-HSA-73929;reactome:R-HSA-74217;reactome:R-HSA-74259;reactome:R-HSA-83936;reactome:R-HSA-8956319;reactome:R-HSA-8956321;reactome:R-HSA-9734207;reactome:R-HSA-9734281;reactome:R-HSA-9735804;wiki:WP1937;wiki:WP3399;wiki:WP4042;wiki:WP4082;wiki:WP4224;wiki:WP4792;wiki:WP661
kegg:map00330;rea...,kegg:map00330;reactome:R-HSA-71288;wiki:WP1495;wiki:WP4583;wiki:WP4584;wiki:WP497;wiki:WP5002;wiki:WP5190
kegg:map00120;keg...,kegg:map00120;kegg:map00430;reactome:R-HSA-159418;reactome:R-HSA-1614558;reactome:R-HSA-1614635;reactome:R-HSA-192105;reactome:R-HSA-193368;reactome:R-HSA-194068;reactome:R-HSA-352230;reactome:R-HSA-442660;reactome:R-HSA-8963693;wiki:WP1788;wiki:WP2333;wiki:WP2525;wiki:WP2848;wiki:WP3574;wiki:WP4292;wiki:WP4504;wiki:WP4979;wiki:WP5176;wiki:WP715
wiki:WP1780;wiki:...,wiki:WP1780;wiki:WP1978;wiki:WP2525;wiki:WP2650;wiki:WP2747;wiki:WP3579;wiki:WP4129;wiki:WP4288;wiki:WP4304;wiki:WP5121;wiki:WP5176;wiki:WP5221
reactome:R-HSA-11...,reactome:R-HSA-110331;reactome:R-HSA-1237112;reactome:R-HSA-1614635;reactome:R-HSA-425397;reactome:R-HSA-5619063;reactome:R-HSA-73884;reactome:R-HSA-73927;reactome:R-HSA-73929;reactome:R-HSA-74217;reactome:R-HSA-83936;reactome:R-HSA-8956321;reactome:R-HSA-9734207;reactome:R-HSA-9735804;wiki:WP1937;wiki:WP3399;wiki:WP3574;wiki:WP3580;wiki:WP4082;wiki:WP4224;wiki:WP4792;wiki:WP5078;wiki:WP80
kegg:map00590;keg...,kegg:map00590;kegg:map00592;reactome:R-HSA-111885;reactome:R-HSA-111995;reactome:R-HSA-111996;reactome:R-HSA-112040;reactome:R-HSA-112043;reactome:R-HSA-112310;reactome:R-HSA-114508;reactome:R-HSA-1368082;reactome:R-HSA-1368108;reactome:R-HSA-140180;reactome:R-HSA-1592230;reactome:R-HSA-1655829;reactome:R-HSA-1989781;reactome:R-HSA-2029485;reactome:R-HSA-211935;reactome:R-HSA-211958;reactome:R-HSA-2142670;reactome:R-HSA-2142688;reactome:R-HSA-2142691;reactome:R-HSA-2142696;reactome:R-HSA-2142712;reactome:R-HSA-2142770;reactome:R-HSA-2142816;reactome:R-HSA-2151201;reactome:R-HSA-2162123;reactome:R-HSA-2426168;reactome:R-HSA-381340;reactome:R-HSA-400206;reactome:R-HSA-400253;reactome:R-HSA-426048;reactome:R-HSA-5579011;reactome:R-HSA-5579029;reactome:R-HSA-5668599;reactome:R-HSA-75105;reactome:R-HSA-75876;reactome:R-HSA-9707564;reactome:R-HSA-9707616;wiki:WP167;wiki:WP1797;wiki:WP1809;wiki:WP1871;wiki:WP1978;wiki:WP2197;wiki:WP231;wiki:WP2431;wiki:WP2435;wiki:WP2513;wiki:WP2526;wiki:WP2650;wiki:WP2706;wiki:WP2751;wiki:WP2797;wiki:WP3331;wiki:WP3355;wiki:WP3370;wiki:WP3396;wiki:WP3869;wiki:WP4114;wiki:WP4195;wiki:WP4216;wiki:WP4313;wiki:WP4341;wiki:WP4483;wiki:WP4580;wiki:WP4586;wiki:WP4719;wiki:WP4720;wiki:WP4721;wiki:WP4723;wiki:WP4853;wiki:WP4969;wiki:WP5094;wiki:WP5122;wiki:WP5155;wiki:WP5171;wiki:WP5321;wiki:WP678;wiki:WP98
kegg:map00620;rea...,kegg:map00620;reactome:R-HSA-196807;reactome:R-HSA-197264;reactome:R-HSA-3296197;reactome:R-HSA-427601;reactome:R-HSA-428643;reactome:R-HSA-433692;reactome:R-HSA-549132;reactome:R-HSA-561048;reactome:R-HSA-5619070;reactome:R-HSA-70268;reactome:R-HSA-71406;reactome:R-HSA-9749641;wiki:WP2456;wiki:WP2766;wiki:WP2868;wiki:WP3644;wiki:WP4097;wiki:WP4290;wiki:WP4595;wiki:WP4629;wiki:WP5211;wiki:WP5239;wiki:WP5312;wiki:WP534;wiki:WP661
kegg:map00270;keg...,kegg:map00270;kegg:map00564;reactome:R-HSA-112310;reactome:R-HSA-114516;reactome:R-HSA-1168372;reactome:R-HSA-1169091;reactome:R-HSA-1227986;reactome:R-HSA-1250196;reactome:R-HSA-1482801;reactome:R-HSA-1483101;reactome:R-HSA-1483213;reactome:R-HSA-1614635;reactome:R-HSA-3000471;reactome:R-HSA-3000480;reactome:R-HSA-3000497;reactome:R-HSA-352230;reactome:R-HSA-399719;reactome:R-HSA-399721;reactome:R-HSA-4086398;reactome:R-HSA-4086400;reactome:R-HSA-416993;reactome:R-HSA-418597;reactome:R-HSA-442660;reactome:R-HSA-5099900;reactome:R-HSA-6798163;reactome:R-HSA-76005;reactome:R-HSA-888590;reactome:R-HSA-888593;reactome:R-HSA-936837;wiki:WP241;wiki:WP2525;wiki:WP2533;wiki:WP2685;wiki:WP3574;wiki:WP3580;wiki:WP3933;wiki:WP4090;wiki:WP4195;wiki:WP4288;wiki:WP4292;wiki:WP4504;wiki:WP4722;wiki:WP4949;wiki:WP5219;wiki:WP528
kegg:map00250;keg...,kegg:map00250;kegg:map00270;kegg:map00280;kegg:map00310;kegg:map00330;kegg:map00340;kegg:map00350;kegg:map00360;kegg:map00380;kegg:map00410;kegg:map00480;kegg:map00520;kegg:map00590;kegg:map00640;kegg:map00670;kegg:map00760;kegg:map00910;reactome:R-HSA-112310;reactome:R-HSA-112313;reactome:R-HSA-156590;reactome:R-HSA-1614558;reactome:R-HSA-1614635;reactome:R-HSA-174403;reactome:R-HSA-196757;reactome:R-HSA-196807;reactome:R-HSA-210455;reactome:R-HSA-210500;reactome:R-HSA-2142691;reactome:R-HSA-2682334;reactome:R-HSA-352230;reactome:R-HSA-379716;reactome:R-HSA-379724;reactome:R-HSA-379726;reactome:R-HSA-3928662;reactome:R-HSA-399710;reactome:R-HSA-399721;reactome:R-HSA-420499;reactome:R-HSA-428643;reactome:R-HSA-438064;reactome:R-HSA-438066;reactome:R-HSA-442742;reactome:R-HSA-442755;reactome:R-HSA-442982;reactome:R-HSA-446210;reactome:R-HSA-446219;reactome:R-HSA-451306;reactome:R-HSA-451307;reactome:R-HSA-451308;reactome:R-HSA-451326;reactome:R-HSA-499943;reactome:R-HSA-500657;reactome:R-HSA-500753;reactome:R-HSA-5423646;reactome:R-HSA-5578999;reactome:R-HSA-5579029;reactome:R-HSA-5619062;reactome:R-HSA-5619067;reactome:R-HSA-5628897;reactome:R-HSA-6794362;reactome:R-HSA-70263;reactome:R-HSA-70326;reactome:R-HSA-70635;reactome:R-HSA-70688;reactome:R-HSA-70895;reactome:R-HSA-70921;reactome:R-HSA-71064;reactome:R-HSA-71240;reactome:R-HSA-73817;reactome:R-HSA-8849932;reactome:R-HSA-888568;reactome:R-HSA-888590;reactome:R-HSA-8955332;reactome:R-HSA-8956320;reactome:R-HSA-8963684;reactome:R-HSA-8963691;reactome:R-HSA-8963693;reactome:R-HSA-8964539;reactome:R-HSA-8964540;reactome:R-HSA-9018677;reactome:R-HSA-9026395;reactome:R-HSA-9026762;reactome:R-HSA-9026766;reactome:R-HSA-916853;reactome:R-HSA-9617324;reactome:R-HSA-9620244;reactome:R-HSA-9659379;reactome:R-HSA-9662360;reactome:R-HSA-9664535;reactome:R-HSA-9717189;reactome:R-HSA-9717207;reactome:R-HSA-9748787;reactome:R-HSA-9753281;reactome:R-HSA-977347;wiki:WP100;wiki:WP1871;wiki:WP1872;wiki:WP1938;wiki:WP2333;wiki:WP2447;wiki:WP2485;wiki:WP2650;wiki:WP2685;wiki:WP3306;wiki:WP3309;wiki:WP3349;wiki:WP3556;wiki:WP3574;wiki:WP3580;wiki:WP3602;wiki:WP3806;wiki:WP3812;wiki:WP3853;wiki:WP3869;wiki:WP4008;wiki:WP4054;wiki:WP4059;wiki:WP4075;wiki:WP4084;wiki:WP4093;wiki:WP4097;wiki:WP4157;wiki:WP4159;wiki:WP4222;wiki:WP4224;wiki:WP4225;wiki:WP4228;wiki:WP4259;wiki:WP4418;wiki:WP4435;wiki:WP4439;wiki:WP4456;wiki:WP4459;wiki:WP4504;wiki:WP4571;wiki:WP4583;wiki:WP4595;wiki:WP4661;wiki:WP4688;wiki:WP497;wiki:WP4973;wiki:WP4979;wiki:WP4980;wiki:WP4981;wiki:WP4988;wiki:WP4992;wiki:WP4994;wiki:WP5004;wiki:WP5009;wiki:WP5029;wiki:WP5094;wiki:WP5213;wiki:WP5312;wiki:WP5402;wiki:WP550
