truncated_label,full_label
Organosulfonic ac...,Organosulfonic acids and derivatives
Alpha hydroxy aci...,Alpha hydroxy acids and derivatives
Gamma-keto acids ...,Gamma-keto acids and derivatives
Carboxylic acids ...,Carboxylic acids and derivatives
Quaternary ammoni...,Quaternary ammonium salts
Purine deoxyribon...,Purine deoxyribonucleotides
Organic phosphoni...,Organic phosphonic acids and derivatives
Pyrrole carboxyli...,Pyrrole carboxylic acids and derivatives
Beta hydroxy acid...,Beta hydroxy acids and derivatives
Tetracarboxylic a...,Tetracarboxylic acids and derivatives
