plot_order,axis_label,pathway_full,pathway_source,stars,NES,size,pval,padj
1,Nicotinate metabolism (Reactome),Nicotinate metabolism (Reactome),Reactome,,1.818350892148766,7,0.0018970427577732307,0.37427552479222925
2,Nicotinamide salvaging (Reactome),Nicotinamide salvaging (Reactome),Reactome,,1.6294799001917184,5,0.014195281028198734,0.5308321208341994
3,"Incretin synthesis, secretion, and inactiv... (Reactome)","Incretin synthesis, secretion, and inactivation (Reactome)",Reactome,,1.5810907559814007,9,0.03445650104702075,0.571403642363094
4,"Synthesis, secretion, and inactivation of ... (Reactome)","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) (Reactome)",Reactome,,1.5810907559814007,9,0.03445650104702075,0.571403642363094
5,Peptide hormone metabolism (Reactome),Peptide hormone metabolism (Reactome),Reactome,,1.5614084636846908,10,0.03892668178382464,0.5958776673062388
6,Amino Sugar Metabolism (KEGG),Amino Sugar Metabolism (KEGG),KEGG,,-1.5223415717059616,16,0.0437703141928494,0.618768477928433
7,Ethanol effects on histone modifications (WikiPathways),Ethanol effects on histone modifications (WikiPathways),WikiPathways,,-1.5641242303083245,5,0.03171953255425709,0.571403642363094
8,One-carbon metabolism (WikiPathways),One-carbon metabolism (WikiPathways),WikiPathways,,-1.6178281864192479,6,0.0249324745480989,0.5512847150079645
9,Disorders of folate metabolism and transport (WikiPathways),Disorders of folate metabolism and transport (WikiPathways),WikiPathways,,-1.6477462714636162,6,0.019738209017244962,0.5342703727100442
10,Purinergic signaling (WikiPathways),Purinergic signaling (WikiPathways),WikiPathways,,-1.6756059702392738,9,0.02147820593809223,0.5342703727100442
11,Class C/3 (Metabotropic glutamate/pheromon... (Reactome),Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),Reactome,,-1.6923576119910348,7,0.016004988567865308,0.5308321208341994
12,Folate metabolism (WikiPathways),Folate metabolism (WikiPathways),WikiPathways,,-1.7162457873254497,9,0.01600336913034323,0.5308321208341994
13,Glucuronidation (WikiPathways),Glucuronidation (WikiPathways),WikiPathways,,-1.8067341755920445,9,0.005895978100652769,0.39109988067663365
14,Methionine de novo and salvage pathway (WikiPathways),Methionine de novo and salvage pathway (WikiPathways),WikiPathways,,-1.9078243274637368,12,0.003761563063238485,0.37427552479222925
