truncated_label,full_label
Bis(2-Ethylhexyl)...,Bis(2-Ethylhexyl) Sebacate
N-Acetyl-Dl-Aspar...,N-Acetyl-Dl-Aspartic Acid
1-Deoxy-1-(Methyl...,1-Deoxy-1-(Methylamino)-D-Galactitol
Dl-Dipalmitoylpho...,Dl-Dipalmitoylphosphatidylcholine
"2-[(2s,4ar,8as)-2...","2-[(2s,4ar,8as)-2-Hydroxy-4a-Methyl-8-Methylidene-3,4,5,6,7,8a-Hexahydro-1h-Naphthalen-2-Yl]Prop-2-Enoic Acid"
1-O-Octadecyl-Sn-...,1-O-Octadecyl-Sn-Glyceryl-3-Phosphorylcholine
Octyl Α-Ketogluta...,Octyl Α-Ketoglutarate
1-Stearoyl-2-Doco...,1-Stearoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine
1-Hexadecyl-2-(9z...,1-Hexadecyl-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine
Spectral Match To...,"Spectral Match To 1,2-Dilinoleoyl-Sn-Glycero-3-Phosphocholine From Nist14"
L-Glutathione Oxi...,L-Glutathione Oxidized
