"Sample","PeaksDetected","ZScore","IsOutlier","DetectionRate","GW","Sex"
"Sample02",4462,-0.172275614114514,FALSE,68.5407066052227,21,"F"
"Sample03",4560,1.32289871945495,FALSE,70.0460829493088,22,"F"
"Sample04",4326,-2.24721142396602,FALSE,66.4516129032258,22,"M"
"Sample06",4414,-0.904605899944457,FALSE,67.8033794162826,21,"F"
"Sample07",4555,1.246614314681,FALSE,69.9692780337942,22,"M"
"Sample13",4460,-0.202789376024095,FALSE,68.5099846390169,22,"F"
"Sample15",4468,-0.0807343283857709,FALSE,68.6328725038402,21,"M"
"Sample17",4456,-0.263816899843257,FALSE,68.4485407066052,18,"M"
"Sample18",4480,0.102348243071715,FALSE,68.8172043010753,23,"F"
"Sample21",4392,-1.24025728094985,FALSE,67.4654377880184,23,"F"
"Sample23",4396,-1.17922975713069,FALSE,67.5268817204301,18,"M"
"Sample24",4450,-0.355358185572,FALSE,68.3563748079877,17,"F"
"Sample26",4539,1.00250421940435,FALSE,69.7235023041475,24,"M"
"Sample31",4499,0.392228981212734,FALSE,69.1090629800307,17,"F"
"Sample33",4401,-1.10294535235673,FALSE,67.6036866359447,16,"F"
"Sample37",4402,-1.08768847140194,FALSE,67.6190476190476,23,"M"
"Sample40",4562,1.35341248136453,FALSE,70.0768049155146,19,"F"
"Sample41",4517,0.666852838398963,FALSE,69.3855606758833,23,"M"
"Sample42",4503,0.453256505031896,FALSE,69.1705069124424,24,"F"
"Sample43",4575,1.55175193377681,FALSE,70.2764976958525,19,"F"
"Sample46",4500,0.407485862167525,FALSE,69.1244239631336,17,"M"
"Sample47",4452,-0.324844423662419,FALSE,68.3870967741936,19,"M"
"Sample49",4555,1.246614314681,FALSE,69.9692780337942,19,"M"
"Sample50",4435,-0.584211399893857,FALSE,68.1259600614439,21,"M"
