"Name","n_occurrences","compound_ids","is_duplicate"
"L-Glutathione (Reduced)",10,"Amide-Neg-000271; Amide-Neg-000393; Amide-Pos-000164; Amide-Pos-000300; C18-Neg-000008; C18-Neg-000009; C18-Pos-000003; C18-Pos-000031; C8-Pos-000180; C8-Pos-000590",TRUE
"Adenosine",8,"Amide-Neg-000369; Amide-Neg-000392; Amide-Pos-000040; Amide-Pos-000053; C18-Pos-000012; C18-Pos-000027; C8-Pos-000165; C8-Pos-000167",TRUE
"N-Acetylneuraminic Acid",8,"Amide-Neg-000397; C18-Neg-000031; C18-Neg-000079; C18-Pos-000038; C18-Pos-000066; C8-Neg-000092; C8-Pos-000327; C8-Pos-000331",TRUE
"Guanosine",7,"Amide-Neg-000171; Amide-Neg-000430; Amide-Pos-000102; Amide-Pos-000469; C18-Neg-000099; C18-Neg-000149; C18-Pos-000071",TRUE
"L-Aspartic Acid",7,"Amide-Neg-000085; Amide-Neg-000429; Amide-Pos-000214; Amide-Pos-000492; C18-Neg-000024; C18-Pos-000029; C18-Pos-000068",TRUE
"L-Glutamic Acid",7,"Amide-Neg-000036; Amide-Neg-000196; Amide-Pos-000054; Amide-Pos-000175; C18-Neg-000005; C18-Pos-000004; C18-Pos-000058",TRUE
"L-N-Acetylhistidine",7,"Amide-Neg-000156; Amide-Neg-000612; Amide-Pos-000114; Amide-Pos-000360; C18-Neg-000106; C18-Pos-000082; C18-Pos-000145",TRUE
"N-Acetyl-1-Aspartylglutamic Acid",7,"Amide-Neg-000124; Amide-Neg-000544; Amide-Pos-000163; C18-Neg-000117; C18-Neg-000166; C18-Pos-000033; C18-Pos-000034",TRUE
"Pantothenic Acid",7,"Amide-Neg-000049; C18-Neg-000013; C18-Neg-000014; C18-Pos-000008; C8-Neg-000027; C8-Pos-000113; C8-Pos-000117",TRUE
"1-Palmitoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine",6,"Amide-Pos-000551; C18-Neg-000219; C8-Neg-000050; C8-Neg-000158; C8-Pos-000127; C8-Pos-000316",TRUE
"1-Palmitoyl-Sn-Glycero-3-Phosphocholine",6,"Amide-Pos-000226; Amide-Pos-000472; C18-Pos-000076; C18-Pos-000185; C8-Pos-000009; C8-Pos-000058",TRUE
"Adenine",6,"Amide-Neg-000087; Amide-Neg-000282; Amide-Pos-000035; Amide-Pos-000087; C18-Neg-000152; C18-Neg-000170",TRUE
"Creatine",6,"Amide-Neg-000135; Amide-Neg-000373; Amide-Pos-000025; Amide-Pos-000064; C18-Neg-000083; C18-Pos-000002",TRUE
"Hypoxanthine",6,"Amide-Neg-000004; Amide-Neg-000089; Amide-Pos-000019; Amide-Pos-000036; C18-Pos-000014; C18-Pos-000026",TRUE
"Inosine-5'-Monophosphate (Imp)",6,"Amide-Neg-000381; Amide-Pos-000198; C18-Neg-000055; C18-Neg-000056; C18-Pos-000075; C18-Pos-000097",TRUE
"L-Glutathione Oxidized",6,"Amide-Neg-000512; Amide-Pos-000237; C8-Neg-000057; C8-Neg-000058; C8-Pos-000257; C8-Pos-000465",TRUE
"L-Histidine",6,"Amide-Neg-000355; Amide-Neg-000598; Amide-Pos-000125; Amide-Pos-000209; C18-Neg-000154; C18-Pos-000135",TRUE
"N6-Succinyladenosine; Lc-Tdda; Ce10",6,"Amide-Neg-000534; Amide-Pos-000476; C18-Neg-000160; C18-Neg-000161; C18-Pos-000150; C18-Pos-000163",TRUE
"Uridine",6,"Amide-Neg-000159; Amide-Neg-000377; Amide-Pos-000394; C18-Neg-000096; C18-Neg-000136; C18-Pos-000166",TRUE
"Xanthine",6,"Amide-Neg-000118; Amide-Pos-000491; C18-Neg-000124; C18-Neg-000155; C18-Pos-000137; C18-Pos-000207",TRUE
"1-Oleoyl-Sn-Glycero-3-Phosphocholine",5,"Amide-Pos-000478; C18-Pos-000182; C18-Pos-000271; C8-Pos-000038; C8-Pos-000075",TRUE
"2'-Deoxyguanosine 5'-Monophosphate (Dgmp)",5,"Amide-Neg-000119; Amide-Neg-000387; C18-Neg-000007; C18-Neg-000011; C8-Neg-000015",TRUE
"Adenosine Diphosphate (Adp)",5,"Amide-Neg-000199; Amide-Neg-000493; Amide-Pos-000111; Amide-Pos-000450; C18-Neg-000119",TRUE
"Arachidonic Acid",5,"Amide-Neg-000277; C8-Neg-000001; C8-Neg-000075; C8-Pos-000205; C8-Pos-000343",TRUE
"Glycerophosphocholine",5,"Amide-Pos-000048; Amide-Pos-000136; C18-Pos-000023; C18-Pos-000024; C8-Pos-000068",TRUE
"Guanine",5,"Amide-Neg-000395; Amide-Pos-000116; Amide-Pos-000128; C18-Pos-000083; C18-Pos-000103",TRUE
"Inosine",5,"Amide-Pos-000056; Amide-Pos-000323; C18-Pos-000052; C18-Pos-000061; C8-Pos-000371",TRUE
"L-Serine",5,"Amide-Neg-000157; Amide-Neg-000506; Amide-Pos-000325; Amide-Pos-000514; C18-Pos-000016",TRUE
"N,N'-Diphenylguanidine",5,"Amide-Pos-000095; C18-Pos-000141; C18-Pos-000331; C8-Neg-000191; C8-Pos-000035",TRUE
"Taurine",5,"Amide-Neg-000337; Amide-Neg-000462; Amide-Pos-000028; Amide-Pos-000271; C18-Pos-000041",TRUE
"Udp-N-Acetylglucosamine",5,"Amide-Neg-000459; Amide-Pos-000314; C8-Neg-000134; C8-Neg-000211; C8-Pos-000649",TRUE
"1-Linoleoyl Glycerol",4,"Amide-Pos-000499; C18-Pos-000301; C8-Pos-000160; C8-Pos-000175",TRUE
"1-Stearoyl-2-Arachidonoyl-Sn-Glycero-3-Phosphoserine",4,"C8-Neg-000012; C8-Neg-000118; C8-Pos-000066; C8-Pos-000114",TRUE
"1-Β-D-Arabinofuranosyluracil 5'-Monophosphate",4,"Amide-Neg-000275; Amide-Neg-000470; C18-Neg-000036; C18-Neg-000043",TRUE
"2,4-Bis(1,1-Dimethylethyl)Phenol Phosphate",4,"Amide-Neg-000547; C8-Neg-000006; C8-Neg-000076; C8-Pos-000199",TRUE
"2-Aminoisobutyric Acid",4,"Amide-Pos-000099; Amide-Pos-000140; C18-Pos-000124; C18-Pos-000125",TRUE
"2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine",4,"Amide-Pos-000086; Amide-Pos-000126; C8-Pos-000004; C8-Pos-000085",TRUE
"2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine",4,"Amide-Neg-000569; Amide-Pos-000310; C8-Neg-000133; C8-Pos-000675",TRUE
"3-Hydroxy-3-Methylglutaric Acid",4,"Amide-Neg-000072; Amide-Neg-000126; C18-Neg-000015; C18-Neg-000027",TRUE
"4-Oxoproline",4,"Amide-Neg-000183; Amide-Neg-000219; C18-Neg-000071; C18-Neg-000085",TRUE
"Acetyl-L-Carnitine",4,"Amide-Pos-000085; Amide-Pos-000419; C18-Pos-000127; C18-Pos-000128",TRUE
"Adenosine 5'-Monophosphate",4,"Amide-Pos-000075; Amide-Pos-000305; C18-Pos-000005; C18-Pos-000022",TRUE
"Ascorbic Acid",4,"Amide-Neg-000005; Amide-Neg-000012; C18-Neg-000001; C18-Neg-000003",TRUE
"Bilirubin",4,"C18-Pos-000295; C18-Pos-000336; C8-Pos-000612; C8-Pos-000717",TRUE
"Bis(Methylbenzylidene)Sorbitol",4,"Amide-Pos-000335; C18-Pos-000226; C8-Pos-000051; C8-Pos-000288",TRUE
"Choline",4,"Amide-Pos-000001; Amide-Pos-000002; C18-Pos-000001; C18-Pos-000121",TRUE
"Citric Acid",4,"Amide-Neg-000046; Amide-Neg-000078; C18-Neg-000020; C18-Neg-000163",TRUE
"Creatinine",4,"Amide-Neg-000254; Amide-Pos-000033; Amide-Pos-000049; C18-Pos-000039",TRUE
"D-(+)-Pipecolinic Acid",4,"Amide-Pos-000155; Amide-Pos-000245; C18-Pos-000113; C18-Pos-000138",TRUE
"D-(+)-Proline",4,"Amide-Pos-000065; Amide-Pos-000219; C18-Pos-000043; C18-Pos-000239",TRUE
"D-Glucose 6-Phosphate",4,"Amide-Neg-000280; Amide-Neg-000445; Amide-Pos-000527; Amide-Pos-000533",TRUE
"Dl-Alanine",4,"Amide-Neg-000092; Amide-Neg-000130; Amide-Pos-000133; Amide-Pos-000278",TRUE
"Dl-Arginine",4,"Amide-Neg-000356; Amide-Pos-000092; Amide-Pos-000159; C18-Pos-000102",TRUE
"Dl-Dipalmitoylphosphatidylcholine",4,"Amide-Pos-000109; Amide-Pos-000264; C8-Pos-000018; C8-Pos-000526",TRUE
"Guanosine 5'-Diphosphate (Gdp)",4,"Amide-Neg-000451; Amide-Neg-000582; Amide-Pos-000283; Amide-Pos-000555",TRUE
"Guanosine Monophosphate (Gmp)",4,"Amide-Neg-000327; C18-Neg-000041; C18-Neg-000062; C8-Neg-000093",TRUE
"Imidazoleacetic Acid",4,"Amide-Pos-000083; Amide-Pos-000119; C18-Pos-000326; C18-Pos-000330",TRUE
"L-Phenylalanine",4,"Amide-Neg-000221; Amide-Neg-000396; Amide-Pos-000118; C18-Pos-000025",TRUE
"L-Pyroglutamic Acid",4,"Amide-Pos-000072; Amide-Pos-000186; C18-Pos-000009; C18-Pos-000051",TRUE
"L-Threonic Acid",4,"Amide-Neg-000018; Amide-Neg-000054; C18-Neg-000029; C18-Neg-000039",TRUE
"L-Tyrosine",4,"Amide-Neg-000325; Amide-Pos-000178; Amide-Pos-000510; C18-Pos-000040",TRUE
"Lpe 22:4",4,"C8-Neg-000037; C8-Neg-000090; C8-Pos-000106; C8-Pos-000168",TRUE
"Lpe 22:5",4,"C8-Neg-000047; C8-Neg-000101; C8-Pos-000139; C8-Pos-000201",TRUE
"N-Acetylalanine",4,"Amide-Neg-000251; Amide-Neg-000350; C18-Neg-000121; C18-Neg-000138",TRUE
"N-Acetylaspartic Acid",4,"Amide-Neg-000009; Amide-Neg-000384; C18-Neg-000002; C18-Neg-000004",TRUE
"Nicotinamide",4,"Amide-Pos-000098; Amide-Pos-000173; C18-Pos-000035; C18-Pos-000077",TRUE
"Ophthalmate",4,"Amide-Pos-000405; C18-Neg-000125; C18-Neg-000129; C18-Pos-000110",TRUE
"Phosphatidylethanolamine Lyso 20:4",4,"C18-Neg-000218; C18-Neg-000230; C8-Neg-000020; C8-Neg-000051",TRUE
"Tetraglyme",4,"Amide-Pos-000039; Amide-Pos-000096; C18-Pos-000028; C8-Pos-000171",TRUE
"Uric Acid",4,"Amide-Neg-000536; C18-Neg-000094; C18-Neg-000095; C18-Pos-000169",TRUE
"(2r)-3-Hydroxyisovaleroylcarnitine",3,"Amide-Pos-000436; C18-Pos-000179; C18-Pos-000206",TRUE
"(9z,12r)-12-Hydroxyoctadec-9-Enoic Acid",3,"Amide-Neg-000610; C8-Neg-000105; C8-Neg-000186",TRUE
"(Z)-2-Octylpent-2-Enedioic Acid",3,"Amide-Neg-000604; C8-Pos-000678; C8-Pos-000710",TRUE
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",3,"Amide-Pos-000258; C8-Pos-000014; C8-Pos-000016",TRUE
"1,8-Diaza-2,9-Diketocyclotetradecane",3,"Amide-Pos-000276; C18-Pos-000256; C8-Pos-000425",TRUE
"1-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",3,"Amide-Pos-000531; C18-Pos-000265; C18-Pos-000306",TRUE
"1-Aminocyclohexanecarboxylic Acid",3,"Amide-Pos-000348; Amide-Pos-000461; C18-Pos-000324",TRUE
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",3,"Amide-Pos-000236; C8-Pos-000012; C8-Pos-000122",TRUE
"1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine",3,"Amide-Pos-000364; C8-Pos-000022; C8-Pos-000302",TRUE
"1-Oleoyl-Sn-Glycero-3-Phosphoethanolamine",3,"C18-Neg-000225; C8-Pos-000109; C8-Pos-000213",TRUE
"1-Palmitoyl-2-Oleoyl-Phosphatidylglycerol",3,"Amide-Pos-000552; C8-Neg-000025; C8-Pos-000161",TRUE
"1-Palmitoylglycerol",3,"C18-Pos-000236; C8-Pos-000001; C8-Pos-000045",TRUE
"2,5-Di-Tert-Butylhydroquinone",3,"Amide-Neg-000584; C18-Neg-000234; C8-Neg-000203",TRUE
"2-Furoic Acid",3,"Amide-Neg-000150; Amide-Neg-000312; C18-Pos-000288",TRUE
"2-Methylbutyryl-L-Carnitine",3,"Amide-Pos-000091; C18-Pos-000173; C18-Pos-000187",TRUE
"2-Oxobutyric Acid",3,"Amide-Neg-000059; Amide-Neg-000363; C18-Neg-000065",TRUE
"2-Oxoglutaric Acid",3,"Amide-Neg-000057; Amide-Neg-000099; C18-Neg-000193",TRUE
"4-Acetamidobutanoic Acid",3,"Amide-Neg-000452; C18-Neg-000187; C18-Pos-000161",TRUE
"4-Hydroxybenzaldehyde",3,"Amide-Neg-000217; Amide-Neg-000389; C18-Pos-000200",TRUE
"5'-S-Methyl-5'-Thioadenosine",3,"Amide-Pos-000142; C18-Pos-000233; C8-Pos-000198",TRUE
"7,9-Di-Tert-Butyl-1-Oxaspiro[4.5]Deca-6,9-Diene-2,8-Dione",3,"C18-Pos-000272; C8-Pos-000323; C8-Pos-000452",TRUE
"7-Methylguanosine",3,"Amide-Pos-000315; C18-Pos-000252; C18-Pos-000277",TRUE
"8z,11z,14z-Eicosatrienoic Acid",3,"Amide-Neg-000579; C8-Neg-000010; C8-Neg-000022",TRUE
"Acetylcholine",3,"Amide-Pos-000059; Amide-Pos-000121; C18-Pos-000088",TRUE
"Adenosine Triphosphate (Atp)",3,"Amide-Neg-000339; Amide-Pos-000156; Amide-Pos-000160",TRUE
"Asparagine",3,"Amide-Neg-000461; Amide-Pos-000280; Amide-Pos-000559",TRUE
"Cocamidopropyl Betaine",3,"Amide-Pos-000282; C18-Pos-000175; C8-Pos-000087",TRUE
"Cytidine 5'-Diphosphocholine",3,"Amide-Pos-000238; C8-Pos-000350; C8-Pos-000474",TRUE
"Cytidine 5'-Monophosphate (Hydrate)",3,"Amide-Pos-000392; Amide-Pos-000413; C18-Pos-000174",TRUE
"Cytosine",3,"Amide-Pos-000137; Amide-Pos-000201; C18-Pos-000225",TRUE
"D-(-)-Glutamine",3,"Amide-Neg-000048; Amide-Neg-000333; C18-Neg-000017",TRUE
"D-Carnitine",3,"Amide-Pos-000107; Amide-Pos-000268; C18-Pos-000120",TRUE
"D-Fructose 1-Phosphate",3,"C18-Neg-000019; C18-Neg-000045; C8-Neg-000164",TRUE
"Dehydroascorbic Acid",3,"Amide-Neg-000015; Amide-Neg-000070; C18-Neg-000018",TRUE
"Diacetyl",3,"Amide-Neg-000120; Amide-Neg-000194; Amide-Pos-000273",TRUE
"Dl-Glutamine",3,"Amide-Pos-000063; Amide-Pos-000361; C18-Pos-000017",TRUE
"Dl-Β-Leucine",3,"Amide-Neg-000121; Amide-Neg-000139; Amide-Pos-000298",TRUE
"Docosahexaenoic Acid",3,"C8-Neg-000002; C8-Neg-000124; C8-Pos-000560",TRUE
"Dodecanamide,N-[3-(Dimethyloxidoamino)Propyl]",3,"Amide-Pos-000313; C18-Pos-000172; C8-Pos-000388",TRUE
"Erucamide",3,"C18-Pos-000055; C8-Pos-000003; C8-Pos-000305",TRUE
"Ethyl Myristate",3,"Amide-Neg-000111; Amide-Neg-000238; C8-Pos-000162",TRUE
"Glutaric Anhydride",3,"Amide-Neg-000063; Amide-Neg-000066; C18-Neg-000054",TRUE
"Hexanoylcarnitine",3,"Amide-Pos-000395; C18-Pos-000234; C8-Pos-000449",TRUE
"Hypotaurine",3,"Amide-Neg-000223; Amide-Pos-000158; C18-Neg-000139",TRUE
"Ino",3,"Amide-Neg-000016; C18-Neg-000030; C8-Neg-000034",TRUE
"Kojic Acid",3,"Amide-Neg-000287; Amide-Neg-000344; Amide-Pos-000519",TRUE
"L-(-)-Methionine",3,"Amide-Pos-000200; C18-Pos-000105; C18-Pos-000215",TRUE
"L-2-Aminoadipic Acid",3,"Amide-Pos-000303; C18-Pos-000111; C18-Pos-000140",TRUE
"L-Isoleucine",3,"Amide-Pos-000404; C18-Pos-000015; C18-Pos-000148",TRUE
"Lpe 20:3",3,"C8-Neg-000174; C8-Neg-000176; C8-Pos-000372",TRUE
"Maleic Acid",3,"Amide-Neg-000203; Amide-Neg-000225; C18-Neg-000069",TRUE
"Methylimidazoleacetic Acid",3,"Amide-Pos-000331; Amide-Pos-000336; C18-Pos-000340",TRUE
"N,N-Diethylethanolamine",3,"Amide-Pos-000022; Amide-Pos-000084; C18-Pos-000147",TRUE
"N-Acetyl-Dl-Glutamic Acid",3,"Amide-Neg-000562; C18-Neg-000063; C18-Neg-000066",TRUE
"N6-Me-Adenosine",3,"Amide-Pos-000299; C18-Pos-000260; C18-Pos-000319",TRUE
"N8-Acetylspermidine",3,"Amide-Pos-000070; Amide-Pos-000357; C18-Pos-000164",TRUE
"Palmitoylcarnitine",3,"Amide-Pos-000502; C18-Pos-000281; C8-Pos-000088",TRUE
"Peg N5",3,"Amide-Pos-000147; C18-Pos-000162; C8-Pos-000252",TRUE
"Peg N6",3,"Amide-Pos-000302; C18-Pos-000227; C8-Pos-000367",TRUE
"Penicillin G",3,"C18-Neg-000171; C18-Pos-000170; C8-Pos-000212",TRUE
"Pentadecanoic Acid",3,"Amide-Neg-000236; Amide-Neg-000403; C8-Neg-000065",TRUE
"Phosphatidylethanolamine Lyso 18:0",3,"C18-Neg-000203; C8-Neg-000028; C8-Neg-000157",TRUE
"Propionylcarnitine",3,"Amide-Pos-000457; C18-Pos-000165; C18-Pos-000171",TRUE
"Pyrrole-2-Carboxylic Acid",3,"Amide-Neg-000291; Amide-Neg-000316; Amide-Pos-000146",TRUE
"S-Adenosylhomocysteine",3,"Amide-Pos-000512; C18-Pos-000204; C18-Pos-000211",TRUE
"Spectral Match To 1-Octadecanoyl-Sn-Glycero-3-Phosphocholine From Nist14",3,"C18-Pos-000180; C8-Pos-000042; C8-Pos-000188",TRUE
"Tetraethylene Glycol Monomethyl Ether",3,"Amide-Pos-000263; C18-Pos-000223; C8-Pos-000578",TRUE
"Threonine",3,"Amide-Neg-000067; Amide-Neg-000279; C18-Neg-000048",TRUE
"Trans-3-Indoleacrylic Acid",3,"Amide-Pos-000464; C18-Pos-000090; C18-Pos-000244",TRUE
"Trans-Aconitic Acid",3,"Amide-Neg-000379; Amide-Neg-000405; C18-Neg-000025",TRUE
"Triethylamine",3,"Amide-Pos-000073; Amide-Pos-000094; C18-Pos-000079",TRUE
"Triethylene Glycol Monobutyl Ether",3,"Amide-Pos-000180; C18-Pos-000195; C8-Pos-000385",TRUE
"Triphenyl Phosphate",3,"C18-Pos-000259; C8-Pos-000025; C8-Pos-000296",TRUE
"Uracil",3,"Amide-Pos-000277; C18-Pos-000095; C18-Pos-000101",TRUE
"Uridine 5'-Monophosphate",3,"Amide-Pos-000380; C18-Pos-000081; C18-Pos-000094",TRUE
"Uridine Monophosphate (Ump)",3,"C18-Neg-000042; C18-Neg-000074; C8-Neg-000083",TRUE
"(+/-)8-Hepe",2,"C8-Pos-000489; C8-Pos-000617",TRUE
"(+/-)9,10-Dihydroxy-12z-Octadecenoic Acid",2,"C18-Neg-000188; C18-Neg-000208",TRUE
"(2r)-2,3-Dihydroxypropanoic Acid",2,"Amide-Neg-000402; Amide-Neg-000426",TRUE
"(3ar,8r,8ar,9ar)-8-Hydroxy-8a-Methyl-3,5-Bis(Methylene)Decahydronaphtho[2,3-B]Furan-2(3h)-One",2,"C8-Pos-000545; C8-Pos-000574",TRUE
"(5z)-3-Hydroxy-5-Dodecenoic Acid",2,"C8-Pos-000525; C8-Pos-000633",TRUE
"(R)-Butyrylcarnitine",2,"C18-Pos-000134; C18-Pos-000192",TRUE
"(Αs,1s,2r)-Α-Amino-2-Carboxycyclopropaneacetic Acid",2,"Amide-Pos-000112; Amide-Pos-000161",TRUE
"1,1-Cyclobutanedicarboxylic Acid",2,"Amide-Neg-000080; Amide-Neg-000214",TRUE
"1,2-Di-(9z,12z,15z-Octadecatrienoyl)-Sn-Glycero-3-Phosphocholine",2,"C8-Pos-000059; C8-Pos-000086",TRUE
"1,2-Dihydroxyheptadec-16-Yn-4-Yl Acetate",2,"C8-Pos-000214; C8-Pos-000326",TRUE
"1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine",2,"C8-Pos-000008; C8-Pos-000015",TRUE
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",2,"Amide-Pos-000138; C8-Pos-000010",TRUE
