"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50"
"Amide-Neg-000001","Acrylic acid","C3 H4 O2",20592498.2776895,26047860.2964956,24991982.2564099,17783941.4700224,28185664.2897416,31707639.7161173,46578785.6688052,33613511.0454835,34928620.984048,NA,12422578.6441431,18273345.2045241,23134614.7284625,40599413.9225212,30022006.9700013,17166535.3979749,18768417.8630008,40012003.2244135,30090023.3608803,36376577.6136349,29808132.7087074,33100741.8097443,32397549.3097838,2468068.10552991
"Amide-Neg-000002","Acrylic acid","C3 H4 O2",4601389.75726962,8961111.99358348,6769658.87755239,4126686.47460756,19266671.2340486,11946323.6324381,17244534.5732601,4952683.05435002,3983616.58766079,3484923.40833217,1229058.42216945,5357769.61763379,8855107.12328484,7554350.28517176,10721636.2792461,6741937.31580114,12889821.2660836,10045573.2339791,11654711.6039349,6164005.21303331,16641538.291867,11234923.0789198,11070917.4367466,11449149.5536767
"Amide-Neg-000011","Glycine","C2 H5 N O2",85388.6455809615,198147.069059551,310661.226940275,171457.602233389,27181.4390421344,637723.032166354,7665.83486529523,267536.133820284,511741.777249449,285996.930910687,262956.070355209,559327.831782655,48926.3446576789,988223.904893092,17378.0269478394,163671.255562403,205480.901249152,248396.716233857,507861.335577257,978131.638698112,633216.490609211,6651.92117190081,282922.901446958,759115.36453379
"Amide-Neg-000013","Glycolic acid","C2 H4 O3",NA,NA,788781.849157716,NA,NA,NA,NA,NA,1613394.76951771,NA,1880613.83422812,NA,NA,NA,NA,2675168.84450159,NA,NA,NA,NA,NA,NA,NA,NA
"Amide-Neg-000015","Glycolic acid","C2 H4 O3",2863398.60645553,4474682.37506937,306170.436168339,2026253.66895033,8053536.55018498,4250166.10130611,7427669.58084537,6796353.90845237,2301788.14612796,4622241.64699618,1880613.83422812,4683952.30804287,3938271.63411688,9070149.00523404,5579290.35045375,2675168.84450159,6843029.90164738,5177535.65230728,4795051.92888733,8767388.29178185,5741179.76693841,4169057.75501635,6008655.5149101,6102548.82222982
"Amide-Neg-000017","Glycine","C2 H5 N O2",133605.443146863,129861.232674678,201245.00603571,189115.552903618,92157.9370190893,119080.359658147,122830.413589501,87028.1580095421,122724.308293621,105339.995417036,70767.8932083251,48709.2909867073,67118.8692006758,124561.473125437,89234.0812281049,103414.093744558,86810.5555113415,95357.3955766501,108145.535579173,106892.485482632,85835.7751841059,99537.8152833255,109736.742187614,100653.902102343
"Amide-Neg-000024","Crotonic acid","C4 H6 O2",3777163.08623139,3355780.61064657,11912832.7091322,2843833.21071692,7492468.17571111,5945202.30128098,6994263.81391058,4864175.51488027,NA,NA,NA,12025549.4699709,6311079.06436262,NA,9198055.33232087,12681602.7056086,8053045.40954254,4509016.63982686,4904442.25585728,NA,4712796.26490761,5108972.51146968,5065067.52682215,6144831.4439625
"Amide-Neg-000028","Crotonic acid","C4 H6 O2",2305548.43230463,4333231.8172821,3564548.91641675,1553496.25614771,10866576.0560626,8252783.47401679,10520163.3960129,2951082.87455027,1724941.22582997,1575370.23791022,582091.145337896,3373807.07443318,4905908.2189792,3170471.81892811,5319617.46391828,3245814.85895068,6279940.58685198,4842520.11247393,5829533.05753872,3194451.92811594,8563279.8929083,4621351.75639401,5248330.97879827,5653326.71655511
"Amide-Neg-000032","Pyruvic acid","C3 H4 O3",26484820.3706263,18097505.4899112,39628469.3442768,28361892.9502488,2127277.74035053,6445942.49226111,3323070.08843501,45647553.4103467,21054456.8621717,21380619.8333707,NA,44980682.7371334,18801897.3298945,2169629.16132654,61670828.9266609,30680920.9899522,39840956.3001309,40958891.8137654,75897370.7550973,34570744.3246462,31584813.4792985,26829239.9089076,1502327.54115056,30934319.4634215
"Amide-Neg-000033","Pyruvic acid","C3 H4 O3",NA,7546489.25363377,NA,33015143.6046661,43398965.6328445,14132211.7923583,41864982.0748558,40059973.4252041,1454476.22971027,21892447.7812562,19058093.6168899,NA,1552177.48801502,49212512.3397439,NA,NA,5207263.57543913,5573280.6438813,NA,1222116.53238159,30065129.6589246,NA,20356532.5944625,11655217.5303466
"Amide-Neg-000047","DL-Alanine","C3 H7 N O2",2796024.97777975,6950822.93431283,3263871.5358928,5606007.14472275,7550078.61505147,6464380.40830495,9975065.44098578,10681939.6585937,10275692.5628628,9252135.08202039,2359368.56544316,4507717.59483256,4175279.38336753,14164234.867892,8380919.01096441,3628393.83126454,7519279.44004752,8828941.92376876,10930690.845668,12863373.8348869,8713312.17161087,4738698.49608894,9132158.58581279,7709952.6473622
"Amide-Neg-000049","DL-Alanine","C3 H7 N O2",1377713.9626829,2608656.35868618,1396721.37375472,1711863.51485158,2048962.80294477,2337118.17868623,2744412.84552271,2220379.65511002,2422073.56270658,1877347.66575886,1081254.7274312,1938894.50988414,1615005.96774272,2175384.88994545,2345929.18725069,1403923.60752619,2125136.37731364,2252376.89674582,2413744.22889983,2463644.93174965,2113152.28903888,1513429.9412634,2473516.44939668,2724015.72678262
"Amide-Neg-000051","DL-Lactic Acid","C3 H6 O3",NA,NA,85481090.7396461,138204687.9712,NA,24830445.925055,NA,49771804.6893978,32125634.7427817,45192234.8268818,NA,108029379.922812,112267076.617858,72181054.4575265,NA,102185557.862283,123980906.103985,11568148.662542,55023303.7898044,378527806.86491,NA,13114453.2756464,195209409.436178,85456267.687588
"Amide-Neg-000057","DL-Lactic Acid","C3 H6 O3",696164.583819231,1148445.51464358,366187.315425602,784424.161128233,1001674.5622215,599113.339118601,680697.510124442,1634051.39356408,1192108.23402815,849615.922888987,651484.000773575,483163.880966991,768968.956689316,739055.781621981,459518.747343294,653569.653639293,659345.929911962,669262.116177246,1408944.00730662,948403.808388512,759090.702820184,558461.95288711,1005295.88140333,663060.157277052
"Amide-Neg-000059","Oxalic acid","C2 H2 O4",107291.501134962,200739.068303491,226720.891611744,158717.701717821,157533.760133958,136329.411748347,287510.594734144,222793.893077778,274487.863677039,224955.445365844,106745.726764606,181109.769472293,159562.789492214,382244.922865885,142777.592944992,101920.690542104,190779.908802964,417627.027076,269471.103486942,212114.626755872,294521.352912652,136769.648152936,312875.964935713,212410.506585471
"Amide-Neg-000066","L-(+)-Lactic acid","C3 H6 O3",5713696.66731765,6148307.06469565,6458786.74094481,7150464.57597739,10879806.8862232,7863344.83182804,7719981.60090631,6466450.71399933,8167204.85212943,4888134.72521828,5765970.59997121,6625458.17493548,6634278.36956117,5666987.32087748,6645723.66199534,5675846.73574989,7869407.88984003,6291826.8543348,5318857.17149845,7317891.7606868,10382706.2309318,7805100.49335202,10254747.6870367,9186429.85273939
"Amide-Neg-000076","Isobutyric acid","C4 H8 O2",155219.893613328,250709.735078824,NA,204727.023180373,271593.23840458,148878.868585272,260255.265033226,NA,421309.449496564,232260.23023059,150482.25349576,121279.803339933,105977.332258499,405638.528471784,NA,143829.690616954,347355.618832391,321871.25542332,404655.556607349,456363.400931428,286449.440965671,168002.401720071,390663.979472662,264503.41235769
"Amide-Neg-000078","Isobutyric acid","C4 H8 O2",244917.134597225,798951.250792053,474059.635938861,480856.515743815,1429884.42745581,843275.758032368,1235926.15634386,868104.434596584,799937.149024186,669776.396168543,341978.594283439,683273.65481513,440517.253567408,1556114.33949889,734696.719907592,369905.556683803,1083026.00451673,1198287.36855929,1226175.82445669,1290773.98309391,1062535.56263968,680186.061605174,965953.859950289,1149315.35322379
