Name,GW_corr_pval.correlation.rho,GW_corr_pval.p_value,GW_FDR
Glycine,-0.14054296272030758,0.5124517279635752,0.9340335212458618
Histamine,0.08357356569421918,0.7860521002135044,0.9340335212458618
N-Acetylglycine,0.27186279351209497,0.19875085523628866,0.654708699601892
Dl-Pyroglutamic Acid,0.10841923659506596,0.6491159654642953,0.9340335212458618
L-Glutamine,0.3579453581782833,0.08590820156539111,0.5324523140667221
N-Acetyl-L-Aspartic Acid,-0.2998688360700554,0.2422538812599317,0.6906726185379848
D-Tyrosine,0.06587154399705081,0.765233018582805,0.9340335212458618
Adenosine Triphosphate (Atp),-0.32545551197844125,0.1394075333089748,0.6241042342498377
Choline,-0.3109513050186805,0.1391474775913252,0.6241042342498377
L-Pyroglutamic Acid,0.4356831844329535,0.033329258493137504,0.26663406794510003
L-Glutamic Acid,-0.30533747266759764,0.17831549549995365,0.6241042342498377
Acetylcholine,0.48663000841906495,0.0158908822284857,0.17797788095903985
Dl-Glutamine,0.11122123345634058,0.6503325133272144,0.9340335212458618
Acetyl-Β-Methylcholine,0.040845298540589395,0.8497034524051592,0.9340335212458618
5-Methyl D-Glutamate,-0.0869609581831903,0.6861801097516002,0.9340335212458618
D-Phenylalanine,-0.2964578119881488,0.15952670695922724,0.6241042342498377
Cysteinylglycine,0.046994053159602846,0.8273879586197302,0.9340335212458618
Tryptophan,0.13878617568630375,0.5177898054410797,0.9340335212458618
2'-Deoxyadenosine,-0.1935160700226678,0.4006348241559964,0.897422006109432
Glycerophosphocholine,0.0588523656391288,0.7847288971651886,0.9340335212458618
Adenosine,-0.4705823181001433,0.02343901908929423,0.21876417816674618
Υ-L-Glutamyl-L-Glutamic Acid,0.1634490348730212,0.4789849664119856,0.9340335212458618
1-Methyladenosine,-0.03952770826508651,0.8545005479917726,0.9340335212458618
Adenosine 5'-Diphosphate,0.13834697892780276,0.51912849076113,0.9340335212458618
1-Myristoyl-Sn-Glycero-3-Phosphocholine,0.3194655122069126,0.158055317020225,0.6241042342498377
Cytidine 5'-Diphosphocholine,-0.018379811150379892,0.9369724294101325,0.9517315887064219
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",0.03689252771408074,0.8641095983363166,0.9340335212458618
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,-0.036014134197078815,0.8673168411568717,0.9340335212458618
1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,0.0588523656391288,0.7847288971651886,0.9340335212458618
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.37375644148431797,0.07199867640162867,0.5039907348114007
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.5035967629491527,0.09508077036905753,0.5324523140667221
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,0.08520417114918646,0.6922145101212631,0.9340335212458618
L-Aspartic Acid,-0.22442954359399114,0.291742834627463,0.7426181245062694
L-Phenylalanine,-0.10986900437012535,0.6177480790091681,0.9340335212458618
N-Acetylglutamic Acid,-0.24331500420953248,0.2519261577380906,0.6906726185379848
L-Tyrosine,0.09091372900969896,0.6726710208684472,0.9340335212458618
D-(+)-Tryptophan,-0.15942842333584892,0.4568030441812678,0.9340335212458618
L-Kynurenine,-0.014466310833635759,0.9517315887064219,0.9517315887064219
Methyl L-Tryptophanate,0.0851875664509899,0.7287818571761634,0.9340335212458618
Phenylacetylglutamine,-0.15415806223383738,0.4720068000410711,0.9340335212458618
N-Acetyl-1-Aspartylglutamic Acid,0.12077910858776433,0.5739986637291516,0.9340335212458618
Adenosine 3'5'-Cyclic Monophosphate,0.09969766417971819,0.6430052563353263,0.9340335212458618
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,0.5081506495856121,0.011236893169772177,0.15731650437681047
N6-Succinyladenosine; Lc-Tdda; Ce10,0.022955235029275278,0.917198365174864,0.9511686749961552
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.6016995591463169,0.001868035519279446,0.05760129753885329
1-Oleoyl-Sn-Glycero-3-Phosphocholine,-0.10365043500622684,0.6298231266513982,0.9340335212458618
5'-S-Methyl-5'-Thioadenosine,0.30796403157226515,0.17442108346856375,0.6241042342498377
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.2808118314466572,0.2590022319517443,0.6906726185379848
2-(5-Oxovaleryl)Phosphatidylcholine,0.06391226303266725,0.7775100375228561,0.9340335212458618
Dl-Dipalmitoylphosphatidylcholine,-0.5973075915613072,0.002057189197816189,0.05760129753885329
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,0.2578084972400642,0.2238835990333622,0.6906726185379848
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0.5423844138138401,0.011078254265917407,0.15731650437681047
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",-0.02834501237128577,0.9082964127458409,0.9511686749961552
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,-0.08256899059818071,0.7013001797894591,0.9340335212458618
N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,-0.2046010078696275,0.34903063193753125,0.8478973751039669
"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",-0.1941249672574248,0.3633845893302715,0.8478973751039669
