Name,Sub.Class,Class
5'-S-Methyl-5'-Thioadenosine,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides
Histamine,Amines,Organonitrogen compounds
5-Methyl D-Glutamate,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Cysteinylglycine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
D-Phenylalanine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
D-Tyrosine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Dl-Glutamine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Dl-Pyroglutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Glycine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Aspartic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Glutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Glutamine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Phenylalanine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Pyroglutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Tyrosine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Methyl L-Tryptophanate,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Acetyl-1-Aspartylglutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Acetyl-L-Aspartic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Acetylglutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Acetylglycine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Phenylacetylglutamine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Υ-L-Glutamyl-L-Glutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Kynurenine,Carbonyl compounds,Organooxygen compounds
Adenosine 3'5'-Cyclic Monophosphate,Cyclic purine nucleotides,Purine nucleotides
"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",Glycerophosphocholines,Glycerophospholipids
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",Glycerophosphocholines,Glycerophospholipids
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",Glycerophosphocholines,Glycerophospholipids
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,Glycerophosphocholines,Glycerophospholipids
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",Glycerophosphocholines,Glycerophospholipids
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,Glycerophosphocholines,Glycerophospholipids
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,Glycerophosphocholines,Glycerophospholipids
1-Myristoyl-Sn-Glycero-3-Phosphocholine,Glycerophosphocholines,Glycerophospholipids
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,Glycerophosphocholines,Glycerophospholipids
1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,Glycerophosphocholines,Glycerophospholipids
1-Oleoyl-Sn-Glycero-3-Phosphocholine,Glycerophosphocholines,Glycerophospholipids
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,Glycerophosphocholines,Glycerophospholipids
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,Glycerophosphocholines,Glycerophospholipids
2-(5-Oxovaleryl)Phosphatidylcholine,Glycerophosphocholines,Glycerophospholipids
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,Glycerophosphocholines,Glycerophospholipids
Dl-Dipalmitoylphosphatidylcholine,Glycerophosphocholines,Glycerophospholipids
Glycerophosphocholine,Glycerophosphocholines,Glycerophospholipids
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,Indolyl carboxylic acids and derivatives,Indoles and derivatives
D-(+)-Tryptophan,Indolyl carboxylic acids and derivatives,Indoles and derivatives
Tryptophan,Indolyl carboxylic acids and derivatives,Indoles and derivatives
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,Phosphosphingolipids,Sphingolipids
N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,Phosphosphingolipids,Sphingolipids
2'-Deoxyadenosine,Purine 2'-deoxyribonucleosides,Purine nucleosides
Adenosine 5'-Diphosphate,Purine ribonucleotides,Purine nucleotides
Adenosine Triphosphate (Atp),Purine ribonucleotides,Purine nucleotides
Cytidine 5'-Diphosphocholine,Pyrimidine ribonucleotides,Pyrimidine nucleotides
Acetyl-Β-Methylcholine,Quaternary ammonium salts,Organonitrogen compounds
Acetylcholine,Quaternary ammonium salts,Organonitrogen compounds
Choline,Quaternary ammonium salts,Organonitrogen compounds
1-Methyladenosine,NA,Purine nucleosides
Adenosine,NA,Purine nucleosides
N6-Succinyladenosine; Lc-Tdda; Ce10,NA,Purine nucleosides
