Name,Covariance,Correlation,Compound.ID,Sub.Class,Class,Reliable,Name_display
N-Acetylaspartic Acid,0.08656458111542974,0.09192080152478381,Amide-Neg-000009,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Acetylaspartic ...
D-(-)-Glutamine,-0.07902849326349123,-0.20837879054262357,Amide-Neg-000048,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,D-(-)-Glutamine
L-Aspartic Acid,0.14801585753166938,0.3305482281420771,Amide-Neg-000085,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,L-Aspartic Acid
N-Acetylglycine,0.40424581615941546,0.18602858237944164,Amide-Neg-000212,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Acetylglycine
L-Tyrosine,-0.017922971971099398,-0.027653509198427743,Amide-Neg-000325,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,L-Tyrosine
N-Ethylglycine,-1.4930563800031484,-0.19401785925087187,Amide-Neg-000343,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Ethylglycine
N-Methylglutamic Acid,-1.0478000343764378,-0.35586179264634865,Amide-Neg-000401,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Methylglutamic ...
D-(+)-Tryptophan,3.07563162294745,0.28168583101802563,Amide-Neg-000507,Indolyl carboxylic acids and derivatives,Indoles and derivatives,FALSE,D-(+)-Tryptophan
N-Acetyl-L-Glutamine,-0.11348024191309734,-0.1223970214615193,Amide-Neg-000605,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Acetyl-L-Glutamine
L-Γ-Glutamyl-L-Glutamic Acid,-1.115790789537256,-0.09408262443352021,Amide-Neg-000611,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,L-Γ-Glutamyl-L-Gl...
Cyclic Adenosine Diphosphate Ribose,-1.3330397921487707,-0.20628478474606154,Amide-Neg-000614,Carbohydrates and carbohydrate conjugates,Organooxygen compounds,FALSE,Cyclic Adenosine ...
