Name,VIP_predictive,Compound.ID,Sub.Class,Class,Name_display
N-Acetyl-Dl-Aspartic Acid,2.6330905084415313,C18-Neg-000104,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-Dl-Aspar...
1-O-Octadecyl-Sn-Glyceryl-3-Phosphorylcholine,2.315765104868638,C8-Pos-000614,Glycerophosphocholines,Glycerophospholipids,1-O-Octadecyl-Sn-...
"Spectral Match To 1,2-Dilinoleoyl-Sn-Glycero-3-Phosphocholine From Nist14",2.2918058512635433,C8-Pos-000266,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
Dl-Dipalmitoylphosphatidylcholine,2.165178466873675,C8-Pos-000018,Glycerophosphocholines,Glycerophospholipids,Dl-Dipalmitoylpho...
"1,2-Didecanoyl-Sn-Glycero-3-Phosphocholine",1.7396248896570556,C8-Pos-000565,Glycerophosphocholines,Glycerophospholipids,"1,2-Didecanoyl-Sn..."
Acetylcholine,1.731972406519699,Amide-Pos-000059,Quaternary ammonium salts,Organonitrogen compounds,Acetylcholine
Spectral Match To 1-Myristoyl-Sn-Glycero-3-Phosphocholine From Nist14,1.7297423030547252,Amide-Pos-000483,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,1.6660987598317238,C8-Pos-000263,Glycerophosphocholines,Glycerophospholipids,1-Linoleoyl-Sn-Gl...
2-(5-Oxovaleryl)Phosphatidylcholine,1.6326071325002303,C8-Pos-000442,Glycerophosphocholines,Glycerophospholipids,2-(5-Oxovaleryl)P...
Phosphocholine,1.5576227499319768,Amide-Pos-000023,Quaternary ammonium salts,Organonitrogen compounds,Phosphocholine
Acetyl-Β-Methylcholine,1.5231301420670598,Amide-Pos-000176,Quaternary ammonium salts,Organonitrogen compounds,Acetyl-Β-Methylch...
N-Methylglutamic Acid,1.4900467116335037,Amide-Neg-000401,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Methylglutamic ...
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,1.3866561965868263,C8-Pos-000004,Glycerophosphocholines,Glycerophospholipids,2-Oleoyl-1-Palmit...
L-Aspartic Acid,1.3840550195532126,Amide-Neg-000085,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Aspartic Acid
Adenosine 5'-Monophosphate,1.2709527113227237,Amide-Pos-000075,Purine ribonucleotides,Purine nucleotides,Adenosine 5'-Mono...
1-Palmitoyl-2-Azelaoylphosphatidylcholine,1.2489589597857393,C8-Pos-000603,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Aze...
L-Tyrosine Methyl Ester,1.2400324593364733,C18-Pos-000300,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Tyrosine Methyl...
"1,2-Diarachidonoyl-Sn-Glycero-3-Phosphocholine",1.2230608554456337,C8-Pos-000097,Glycerophosphocholines,Glycerophospholipids,"1,2-Diarachidonoy..."
2'-Deoxyadenosine,1.2200423466511205,Amide-Pos-000194,Purine 2'-deoxyribonucleosides,Purine nucleosides,2'-Deoxyadenosine
"Spectral Match To 1-Heptadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine From Nist14",1.2089040158295479,C8-Pos-000308,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
D-(+)-Tryptophan,1.1794608325352802,Amide-Neg-000507,Indolyl carboxylic acids and derivatives,Indoles and derivatives,D-(+)-Tryptophan
N-Lauroyl-D-Erythro-Sphingosylphosphorylcholine,1.147194385887141,C8-Pos-000616,Sphingolipids,Lipids and lipid-like molecules,N-Lauroyl-D-Eryth...
1-Hexadecyl-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,1.141930601844205,C8-Pos-000053,Glycerophosphocholines,Glycerophospholipids,1-Hexadecyl-2-(9z...
"1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine",1.0978129783978194,C8-Pos-000008,Glycerophosphocholines,Glycerophospholipids,"1,2-Dipalmitoleoy..."
Dl-Pyroglutamic Acid,1.0627847946323867,Amide-Pos-000342,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Pyroglutamic Acid
"1-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",1.0481113280179224,C18-Pos-000265,Glycerophosphocholines,Glycerophospholipids,"1-(5z,8z,11z,14z-..."
1-Pentadecanoyl-Sn-Glycero-3-Phosphocholine,1.0410110015059062,C8-Pos-000534,Glycerophosphocholines,Glycerophospholipids,1-Pentadecanoyl-S...
"1,2-Di-(9z,12z,15z-Octadecatrienoyl)-Sn-Glycero-3-Phosphocholine",1.0210470441477215,C8-Pos-000059,Glycerophosphocholines,Glycerophospholipids,"1,2-Di-(9z,12z,15..."
"1,2-Didocosahexaenoyl-Sn-Glycero-3-Phosphocholine",0.9901579889065869,C8-Pos-000322,Glycerophosphocholines,Glycerophospholipids,"1,2-Didocosahexae..."
"1,2-Ditetradecanoyl-Sn-Glycero-3-Phosphocholine",0.9437491127473162,C8-Pos-000023,Glycerophosphocholines,Glycerophospholipids,"1,2-Ditetradecano..."
1-Hexadecyl-Sn-Glycero-3-Phosphocholine,0.875464431985782,C8-Pos-000467,Glycerophosphocholines,Glycerophospholipids,1-Hexadecyl-Sn-Gl...
D-(-)-Glutamine,0.8725132566585149,Amide-Neg-000048,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,D-(-)-Glutamine
Cyclic Adenosine Diphosphate Ribose,0.8637453402488725,Amide-Neg-000614,Carbohydrates and carbohydrate conjugates,Organooxygen compounds,Cyclic Adenosine ...
N-Ethylglycine,0.8123818829357541,Amide-Neg-000343,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Ethylglycine
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,0.7884274276845794,C8-Pos-000099,Sphingolipids,Lipids and lipid-like molecules,N-(Octadecanoyl)S...
N-Acetylglycine,0.778929582136397,Amide-Neg-000212,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglycine
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",0.7688348248877929,C8-Pos-000010,Glycerophosphocholines,Glycerophospholipids,"1,2-Dipentadecano..."
"1-(1z-Octadecenyl)-2-(4z,7z,10z,13z,16z,19z-Docosahexaenoyl)-Sn-Glycero-3-Phosphocholine",0.7186611160244868,C8-Pos-000191,Glycerophosphocholines,Glycerophospholipids,1-(1z-Octadecenyl...
1-Hexadecanoyl-2-(14-Pentadecenoyl)-Sn-Glycero-3-Phosphocholine,0.710083878703195,C8-Pos-000133,Glycerophosphocholines,Glycerophospholipids,1-Hexadecanoyl-2-...
N6-Succinyladenosine; Lc-Tdda; Ce10,0.705073644294623,C18-Pos-000163,NA,Purine nucleosides,N6-Succinyladenos...
L-Glutamic Acid,0.6933038245437704,Amide-Pos-000054,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Glutamic Acid
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.6726521019677688,C8-Pos-000014,Glycerophosphocholines,Glycerophospholipids,"1,2-Dioleoyl-Sn-G..."
N6-Threonylcarbamoyladenosine,0.6576018542506875,C18-Pos-000253,NA,Purine nucleosides,N6-Threonylcarbam...
1-Stearoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,0.6319151358798235,C8-Pos-000046,Glycerophosphocholines,Glycerophospholipids,1-Stearoyl-2-Doco...
Cytidine 5'-Diphosphocholine,0.6307757382619055,Amide-Pos-000238,Pyrimidine ribonucleotides,Pyrimidine nucleotides,Cytidine 5'-Dipho...
Adenosine,0.6196049221455401,Amide-Pos-000053,NA,Purine nucleosides,Adenosine
1-Palmitoyl-2-Stearoyl-Sn-Glycero-3-Phosphocholine,0.5578586234956877,C8-Pos-000083,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Ste...
N-Acetyl-L-Glutamine,0.512494690666937,Amide-Neg-000605,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-L-Glutamine
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,0.5005910427645966,C8-Pos-000009,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-Sn-Gl...
Kynurenic Acid,0.47735033374328467,Amide-Pos-000403,Quinoline carboxylic acids,Quinolines and derivatives,Kynurenic Acid
Glycerophosphocholine,0.4396917299101173,Amide-Pos-000048,Glycerophospholipids,Lipids and lipid-like molecules,Glycerophosphocho...
N-Oleoyl-D-Erythro-Sphingosylphosphorylcholine,0.42849398560852847,Amide-Pos-000503,Sphingolipids,Lipids and lipid-like molecules,N-Oleoyl-D-Erythr...
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,0.40738805330613725,C8-Pos-000022,Glycerophosphocholines,Glycerophospholipids,1-Octadecanoyl-2-...
L-Γ-Glutamyl-L-Glutamic Acid,0.3939380626296498,Amide-Neg-000611,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Γ-Glutamyl-L-Gl...
N-Acetylaspartic Acid,0.3848861857975166,Amide-Neg-000009,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylaspartic ...
Adenosine Triphosphate (Atp),0.3503929360082332,Amide-Pos-000156,Purine ribonucleotides,Purine nucleotides,Adenosine Triphos...
5-Methyl D-Glutamate,0.33731219894225933,Amide-Pos-000168,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,5-Methyl D-Glutamate
N-Acetyl-Dl-Glutamic Acid,0.31455414735076365,C18-Neg-000066,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-Dl-Gluta...
L-Phenylalanine,0.31442387301775965,Amide-Pos-000118,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Phenylalanine
Choline,0.31284738796007383,Amide-Pos-000001,Quaternary ammonium salts,Organonitrogen compounds,Choline
N-Acetyl-1-Aspartylglutamic Acid,0.31182958130270483,Amide-Pos-000163,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-1-Aspart...
Spectral Match To 1-(1z-Hexadecenyl)-Sn-Glycero-3-Phosphocholine From Nist14,0.28158892110414585,C8-Pos-000298,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0.27356734951913275,C8-Pos-000211,Glycerophosphocholines,Glycerophospholipids,1-(1z-Octadecenyl...
1-Palmitoyl-2-Linoleoyl-Sn-Glycero-3-Phosphocholine,0.25178392859940907,C8-Pos-000011,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Lin...
"1-Hexadecyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.22347027314226067,C8-Pos-000187,Glycerophosphocholines,Glycerophospholipids,1-Hexadecyl-2-(5z...
Adenosine Diphosphate (Adp),0.20255497684902043,Amide-Pos-000111,Purine ribonucleotides,Purine nucleotides,Adenosine Diphosp...
Dl-Glutamine,0.1998463371925665,Amide-Pos-000063,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Glutamine
Palmitoyleicosapentaenoyl Phosphatidylcholine,0.19656696633675766,C8-Pos-000020,Glycerophosphocholines,Glycerophospholipids,Palmitoyleicosape...
Spectral Match To 1-(9z-Octadecenoyl)-2-Tetradecanoyl-Sn-Glycero-3-Phosphocholine From Nist14,0.19585364857570614,C8-Pos-000002,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
"1,2-Di-(9z-Tetradecenoyl)-Sn-Glycero-3-Phosphocholine",0.17020406518553818,C8-Pos-000598,Glycerophosphocholines,Glycerophospholipids,"1,2-Di-(9z-Tetrad..."
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.15352573947705908,C8-Pos-000012,Glycerophosphocholines,Glycerophospholipids,1-Hexadecanoyl-2-...
5'-S-Methyl-5'-Thioadenosine,0.12319637556903794,C18-Pos-000233,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides,5'-S-Methyl-5'-Th...
1-Stearoyl-2-Arachidonyl-Sn-Glycero-3-Phosphocholine,0.12248317290406813,C8-Pos-000019,Glycerophosphocholines,Glycerophospholipids,1-Stearoyl-2-Arac...
L-Tyrosine,0.11578939154952535,Amide-Neg-000325,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Tyrosine
1-Myristoyl-Sn-Glycero-3-Phosphocholine,0.110356827191685,C18-Pos-000213,Glycerophosphocholines,Glycerophospholipids,1-Myristoyl-Sn-Gl...
N6-Me-Adenosine,0.09987396437607639,Amide-Pos-000299,NA,Purine nucleosides,N6-Me-Adenosine
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,0.08567707268366725,C8-Pos-000029,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Doc...
1-Oleoyl-Sn-Glycero-3-Phosphocholine,0.03859365045931139,C8-Pos-000038,Glycerophosphocholines,Glycerophospholipids,1-Oleoyl-Sn-Glyce...
Υ-L-Glutamyl-L-Glutamic Acid,0.02584856133493146,Amide-Pos-000489,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Υ-L-Glutamyl-L-Gl...
Spectral Match To 1-Octadecanoyl-Sn-Glycero-3-Phosphocholine From Nist14,0.014450337428299206,C8-Pos-000042,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
