Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.13047145471925167,18.728926528869376,3.6371979375637165,0.0012713148923042025,0.05203975038159683,-0.9279059702887782,C18-Pos-004537,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.15140864757794545,16.50791891185648,3.485578505514606,0.0018585625136284584,0.05203975038159683,-1.2721121415755192,Amide-Pos-002307,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
1-Methyladenosine,-0.1724995695777304,18.06710546842314,-2.524661316269006,0.018720973229823943,0.2185593719100819,-3.3102279156358674,Amide-Pos-001132,NA,Purine nucleosides,Decreases with GW,
Choline,-0.10026664619854322,24.395328069946707,-2.5013056323704097,0.019397910774128117,0.2185593719100819,-3.363313791549916,Amide-Pos-000097,Quaternary ammonium salts,Organonitrogen compounds,Decreases with GW,
Acetylcholine,0.20665010283994534,25.16911998239261,2.4986345224522704,0.019514229634828743,0.2185593719100819,-3.3685223216259512,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Increases with GW,
N-Acetylglutamic Acid,0.09165835794952618,26.74314289764745,2.3378490590783083,0.027828325508598813,0.2597310380802556,-3.675985659418876,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Histamine,0.10804983236654135,18.280519718653387,2.0259621114219972,0.05373027501437813,0.42984220011502505,-4.234908632663636,Amide-Neg-000145,Amines,Organonitrogen compounds,Increases with GW,
5'-S-Methyl-5'-Thioadenosine,-0.1327890158316101,18.11662878155701,-1.9527009725988766,0.06230819306953875,0.43615735148677126,-4.358246721104187,C8-Pos-000483,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides,Decreases with GW,
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,-0.055169906509274926,19.88825807069088,-1.896429996037239,0.07541183284287598,0.44260189354697005,-4.38104190671403,C8-Pos-004099,Glycerophosphocholines,Glycerophospholipids,Decreases with GW,
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,-0.06333780675052933,19.62623668017055,-1.8322279155012882,0.0790360524191018,0.44260189354697005,-4.553893562971139,C8-Pos-004574,Glycerophosphocholines,Glycerophospholipids,Decreases with GW,
Adenosine Triphosphate (Atp),-0.041527676567984013,22.465432969670946,-1.5512240250844456,0.13861226558536746,0.5455529977838047,-4.890864467998072,Amide-Neg-001422,Purine ribonucleotides,Purine nucleotides,Decreases with GW,
D-Phenylalanine,0.06609606841662795,28.669805146265904,1.5842197042226631,0.125900298155412,0.5455529977838047,-4.9265383518802786,Amide-Pos-000583,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
