Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
Υ-L-Glutamyl-L-Glutamic Acid,1.8164062717289309,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Υ-L-Glutamyl-L-Gl...
Adenosine,1.48178923080116,Amide-Pos-001066,NA,Purine nucleosides,Adenosine
Adenosine 5'-Diphosphate,1.4145717119180934,Amide-Pos-001677,Purine ribonucleotides,Purine nucleotides,Adenosine 5'-Diph...
Cytidine 5'-Diphosphocholine,1.368332663441918,Amide-Pos-001779,Pyrimidine ribonucleotides,Pyrimidine nucleotides,Cytidine 5'-Dipho...
N-Acetylglutamic Acid,1.3622330061530297,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglutamic ...
Phenylacetylglutamine,1.3467921228121393,C18-Pos-001439,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Phenylacetylgluta...
5-Methyl D-Glutamate,1.3264398863522984,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,5-Methyl D-Glutamate
Acetyl-Β-Methylcholine,1.3119157059197377,Amide-Pos-000561,Quaternary ammonium salts,Organonitrogen compounds,Acetyl-Β-Methylch...
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,1.2786062052080163,Amide-Pos-002226,Phosphosphingolipids,Sphingolipids,N-(Octadecanoyl)S...
Adenosine Triphosphate (Atp),1.2406057078197978,Amide-Neg-001422,Purine ribonucleotides,Purine nucleotides,Adenosine Triphos...
1-Methyladenosine,1.20189532614647,Amide-Pos-001132,NA,Purine nucleosides,1-Methyladenosine
L-Aspartic Acid,1.1833351347726133,C18-Pos-000393,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Aspartic Acid
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,1.1518569462191746,C18-Pos-002507,Indolyl carboxylic acids and derivatives,Indoles and derivatives,2-(Alpha-D-Mannop...
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,1.134058747957481,C8-Pos-004574,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Doc...
Adenosine 3'5'-Cyclic Monophosphate,1.1251363948878874,C18-Pos-002092,Cyclic purine nucleotides,Purine nucleotides,Adenosine 3'5'-Cy...
Dl-Glutamine,1.124271406831517,Amide-Pos-000475,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Glutamine
1-Oleoyl-Sn-Glycero-3-Phosphocholine,1.119163547406168,C18-Pos-004585,Glycerophosphocholines,Glycerophospholipids,1-Oleoyl-Sn-Glyce...
D-Phenylalanine,1.1140224409953012,Amide-Pos-000583,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,D-Phenylalanine
Methyl L-Tryptophanate,1.0718703063632737,C18-Pos-001113,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Methyl L-Tryptoph...
Dl-Dipalmitoylphosphatidylcholine,1.0207056547772424,C8-Pos-003901,Glycerophosphocholines,Glycerophospholipids,Dl-Dipalmitoylpho...
L-Phenylalanine,1.0169967621098737,C18-Pos-000721,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Phenylalanine
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",0.9977418872928598,Amide-Pos-002176,Glycerophosphocholines,Glycerophospholipids,"1,2-Dipentadecano..."
Choline,0.9912650185967036,Amide-Pos-000097,Quaternary ammonium salts,Organonitrogen compounds,Choline
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,0.9856255906243652,Amide-Pos-002309,Glycerophosphocholines,Glycerophospholipids,1-Octadecanoyl-2-...
2'-Deoxyadenosine,0.9766571047073792,Amide-Pos-000996,Purine 2'-deoxyribonucleosides,Purine nucleosides,2'-Deoxyadenosine
L-Kynurenine,0.9726639049804283,C18-Pos-001046,Carbonyl compounds,Organooxygen compounds,L-Kynurenine
Glycerophosphocholine,0.9725081203132716,Amide-Pos-001017,Glycerophosphocholines,Glycerophospholipids,Glycerophosphocho...
N6-Succinyladenosine; Lc-Tdda; Ce10,0.9705682844898332,C18-Pos-002703,NA,Purine nucleosides,N6-Succinyladenos...
Histamine,0.9694996082846388,Amide-Neg-000145,Amines,Organonitrogen compounds,Histamine
L-Glutamic Acid,0.9642415347560037,Amide-Pos-000319,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Glutamic Acid
"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",0.9589381755875309,C8-Pos-004898,Glycerophosphocholines,Glycerophospholipids,"1,2-Dieicosenoyl-..."
Glycine,0.9580889005055233,Amide-Neg-000011,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Glycine
D-(+)-Tryptophan,0.956300795733946,C18-Pos-001015,Indolyl carboxylic acids and derivatives,Indoles and derivatives,D-(+)-Tryptophan
5'-S-Methyl-5'-Thioadenosine,0.9433502129051153,C8-Pos-000483,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides,5'-S-Methyl-5'-Th...
N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,0.9337383627911742,C8-Pos-004641,Phosphosphingolipids,Sphingolipids,N-Nervonoyl-D-Ery...
2-(5-Oxovaleryl)Phosphatidylcholine,0.8868981130250577,C8-Pos-002923,Glycerophosphocholines,Glycerophospholipids,2-(5-Oxovaleryl)P...
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,0.8721525555882007,Amide-Pos-002276,Glycerophosphocholines,Glycerophospholipids,2-Oleoyl-1-Palmit...
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.8208521844276371,C18-Pos-004537,Glycerophosphocholines,Glycerophospholipids,1-Linoleoyl-Sn-Gl...
Cysteinylglycine,0.8183314918783386,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Cysteinylglycine
1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,0.8126592231407637,Amide-Pos-002228,Glycerophosphocholines,Glycerophospholipids,1-Oleoyl-2-Myrist...
1-Myristoyl-Sn-Glycero-3-Phosphocholine,0.7949296451548883,Amide-Pos-001743,Glycerophosphocholines,Glycerophospholipids,1-Myristoyl-Sn-Gl...
D-Tyrosine,0.7825343111478918,Amide-Neg-000781,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,D-Tyrosine
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,0.7745154052015143,C8-Pos-004099,Glycerophosphocholines,Glycerophospholipids,1-Hexadecanoyl-2-...
Dl-Pyroglutamic Acid,0.7548022460573177,Amide-Neg-000291,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Pyroglutamic Acid
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.7540929766760903,C8-Pos-004336,Glycerophosphocholines,Glycerophospholipids,1-Hexadecanoyl-2-...
Tryptophan,0.73205572896956,Amide-Pos-000761,Indolyl carboxylic acids and derivatives,Indoles and derivatives,Tryptophan
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,0.6752574897258656,C8-Pos-002038,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-Sn-Gl...
L-Tyrosine,0.6743974499530799,C18-Pos-000832,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Tyrosine
N-Acetyl-1-Aspartylglutamic Acid,0.5249776988192064,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-1-Aspart...
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0.47335424100521223,C8-Pos-004250,Glycerophosphocholines,Glycerophospholipids,1-(1z-Octadecenyl...
Acetylcholine,0.4664118455800451,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Acetylcholine
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.46553720505574764,Amide-Pos-002307,Glycerophosphocholines,Glycerophospholipids,"1,2-Dioleoyl-Sn-G..."
L-Glutamine,0.4449366818686275,Amide-Neg-000486,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Glutamine
N-Acetyl-L-Aspartic Acid,0.41557926301275694,Amide-Neg-000557,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-L-Aspart...
L-Pyroglutamic Acid,0.33690093143063565,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Pyroglutamic Acid
N-Acetylglycine,0.28668817732853785,Amide-Neg-000219,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglycine
