Name,GW_corr_pval.correlation.rho,GW_corr_pval.p_value,GW_FDR
Glycine,-0.14054296272030758,0.5124517279635752,0.7003580912754617
Histamine,0.08357356569421918,0.7860521002135044,0.7860521002135044
N-Acetylglycine,0.2652748421345805,0.2102814074530446,0.5352552874654926
Dl-Pyroglutamic Acid,0.29118745088613723,0.16743260852636815,0.5352552874654926
N-Acetyl-L-Aspartic Acid,0.14493493030531718,0.4992243480430225,0.7003580912754617
L-Pyroglutamic Acid,-0.32105283046420263,0.12609300324393674,0.5352552874654926
L-Glutamic Acid,-0.25101050477664055,0.24797332967955965,0.5352552874654926
Acetylcholine,-0.5290824463448733,0.051724013143703326,0.5352552874654926
5-Methyl D-Glutamate,0.11122123345634058,0.6503325133272144,0.7003580912754617
Cysteinylglycine,-0.2964578119881488,0.15952670695922724,0.5352552874654926
Υ-L-Glutamyl-L-Glutamic Acid,0.10233284473072395,0.6342052531992637,0.7003580912754617
L-Aspartic Acid,-0.12253589562176817,0.5683987950881357,0.7003580912754617
N-Acetylglutamic Acid,-0.2239903468354902,0.2927130723747172,0.5352552874654926
N-Acetyl-1-Aspartylglutamic Acid,0.29501350313666497,0.3058601642659957,0.5352552874654926
