Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
Acetylcholine,-0.3042447073116827,15.635881324000495,-2.8551221174939054,0.012639485904239297,0.17695280265935015,-2.7180748564757318,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Decreases with GW,
Dl-Pyroglutamic Acid,0.18275098113564203,18.782513832313835,2.2036701177822486,0.03733923609471311,0.23066543013146845,-3.667976808749893,Amide-Neg-000291,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
N-Acetyl-1-Aspartylglutamic Acid,0.67405170605802,24.57907822303517,2.149364055494454,0.04942830645674324,0.23066543013146845,-3.749628787179186,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
L-Pyroglutamic Acid,-0.07355782888064355,18.509086144204062,-1.6093124746093845,0.12056445102992523,0.3346949115149747,-4.56204266311004,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
N-Acetylglycine,0.1288574246407361,21.390548488610676,1.5868258774886632,0.12558100117329857,0.3346949115149747,-4.591777887866845,Amide-Neg-000219,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Cysteinylglycine,-0.11284167081539416,17.082142525113365,-1.512357132185385,0.1434406763635606,0.3346949115149747,-4.687876442572728,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
5-Methyl D-Glutamate,0.10540579084040971,21.014850792745293,1.1924983253701074,0.24766234698046583,0.49532469396093165,-4.909437950697298,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
L-Aspartic Acid,-0.1923919651946647,17.718490779203748,-1.095040164438988,0.28431746945439546,0.49755557154519203,-5.15398014698101,C18-Pos-000393,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
L-Glutamic Acid,-0.07878176590423991,18.656947824296065,-0.991028090691756,0.3319348994922854,0.5163431769879995,-5.242875465415749,Amide-Pos-000319,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
Histamine,0.00847406827472608,15.919690361591458,0.051979426674871106,0.9593286840629847,0.9593286840629847,-5.3713052861159065,Amide-Neg-000145,Amines,Organonitrogen compounds,Increases with GW,
N-Acetylglutamic Acid,-0.024482691858275625,22.74737018484568,-0.7976502086345814,0.43285931301378777,0.5787183195108812,-5.403954799322434,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
N-Acetyl-L-Aspartic Acid,0.031085014084274366,19.807231740514208,0.7598550335956692,0.4547072510442638,0.5787183195108812,-5.4304631499217795,Amide-Neg-000557,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Υ-L-Glutamyl-L-Glutamic Acid,0.022019261578510058,18.192457227400784,0.6226880945312295,0.5393347358977191,0.629223858547339,-5.516341471554214,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Glycine,-0.012304766727823139,18.323511091278213,-0.1961246858042412,0.8461561764017211,0.9112451130480074,-5.676463815277063,Amide-Neg-000011,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
