Name,Sub.Class,Class
5-Methyl D-Glutamate,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Dl-Pyroglutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Aspartic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Glutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
L-Γ-Glutamyl-L-Glutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Acetyl-1-Aspartylglutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Acetyl-Dl-Aspartic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Acetyl-Dl-Glutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Acetylaspartic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Acetylglycine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Ethylglycine,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
N-Methylglutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Υ-L-Glutamyl-L-Glutamic Acid,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives
Acetylcholine,Quaternary ammonium salts,Organonitrogen compounds
