Name,Covariance,Correlation,Compound.ID,Sub.Class,Class,Reliable,Name_display
N-Acetylaspartic Acid,-0.04824248269622071,-0.08493792426947082,Amide-Neg-000009,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Acetylaspartic ...
L-Aspartic Acid,0.12283035518988465,0.45481074715764414,Amide-Neg-000085,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,L-Aspartic Acid
N-Acetylglycine,0.3436513258044536,0.26221080837062755,Amide-Neg-000212,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Acetylglycine
N-Ethylglycine,-1.0705631842495715,-0.23066209270214733,Amide-Neg-000343,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Ethylglycine
N-Methylglutamic Acid,-0.8311391767638493,-0.46803155066896523,Amide-Neg-000401,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Methylglutamic ...
L-Γ-Glutamyl-L-Glutamic Acid,-2.0214252608827428,-0.28260690108857367,Amide-Neg-000611,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,L-Γ-Glutamyl-L-Gl...
L-Glutamic Acid,-0.12378763564629029,-0.1346273870076774,Amide-Pos-000054,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,L-Glutamic Acid
Acetylcholine,-2.707511265389353,-0.5259229319275835,Amide-Pos-000059,Quaternary ammonium salts,Organonitrogen compounds,TRUE,Acetylcholine
N-Acetyl-1-Aspartylglutamic Acid,-0.5119926163400789,-0.07334864427072817,Amide-Pos-000163,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Acetyl-1-Aspart...
5-Methyl D-Glutamate,-0.2189509393247962,-0.16588517801411606,Amide-Pos-000168,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,5-Methyl D-Glutamate
Dl-Pyroglutamic Acid,-0.041653390171884984,-0.22602232787220303,Amide-Pos-000342,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,Dl-Pyroglutamic Acid
Υ-L-Glutamyl-L-Glutamic Acid,0.018834985321060038,0.020738630437406712,Amide-Pos-000489,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,Υ-L-Glutamyl-L-Gl...
N-Acetyl-Dl-Glutamic Acid,-1.1589740851076538,-0.11953638577678054,C18-Neg-000066,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,N-Acetyl-Dl-Gluta...
N-Acetyl-Dl-Aspartic Acid,-1.31543832417567,-0.7210213523671543,C18-Neg-000104,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,TRUE,N-Acetyl-Dl-Aspar...
