Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
N-Acetyl-Dl-Aspartic Acid,1.6508813371438733,C18-Neg-000104,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-Dl-Aspar...
Υ-L-Glutamyl-L-Glutamic Acid,1.2886835437795023,Amide-Pos-000489,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Υ-L-Glutamyl-L-Gl...
N-Methylglutamic Acid,1.1570988265752815,Amide-Neg-000401,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Methylglutamic ...
Acetylcholine,1.1516176899146777,Amide-Pos-000059,Quaternary ammonium salts,Organonitrogen compounds,Acetylcholine
L-Aspartic Acid,1.0771051533021914,Amide-Neg-000085,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Aspartic Acid
N-Acetylglycine,1.027877638088411,Amide-Neg-000212,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglycine
N-Acetyl-1-Aspartylglutamic Acid,0.8864282742397651,Amide-Pos-000163,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-1-Aspart...
Dl-Pyroglutamic Acid,0.8777603865368989,Amide-Pos-000342,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Pyroglutamic Acid
N-Acetylaspartic Acid,0.8301556438545553,Amide-Neg-000009,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylaspartic ...
N-Ethylglycine,0.7942186389819915,Amide-Neg-000343,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Ethylglycine
L-Γ-Glutamyl-L-Glutamic Acid,0.7197154270621227,Amide-Neg-000611,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Γ-Glutamyl-L-Gl...
5-Methyl D-Glutamate,0.7098675835548668,Amide-Pos-000168,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,5-Methyl D-Glutamate
N-Acetyl-Dl-Glutamic Acid,0.7073322777757105,C18-Neg-000066,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-Dl-Gluta...
L-Glutamic Acid,0.5776809949544951,Amide-Pos-000054,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Glutamic Acid
