Name,GW_corr_pval.correlation.cor,GW_corr_pval.p_value,GW_FDR
Glycine,-0.04152347543064033,0.8472363441808681,0.9124083706563195
Histamine,0.3885797743560822,0.06058179086453433,0.28271502403449356
N-Acetylglycine,0.279782472273763,0.18546804888211169,0.4327587807249273
Dl-Pyroglutamic Acid,-0.2956444983014538,0.16072927219692423,0.4327587807249273
N-Acetyl-L-Aspartic Acid,0.16840535251821936,0.43150745113310307,0.6173983235373164
L-Pyroglutamic Acid,-0.32519953321843054,0.12099948037705303,0.42349818131968564
L-Glutamic Acid,-0.10650140873776742,0.7170739197319782,0.8365862396873079
Acetylcholine,0.4544558829766673,0.025680949048684204,0.19675321753720118
5-Methyl D-Glutamate,0.17219789867251592,0.4210523845394284,0.6173983235373164
Cysteinylglycine,-0.005409460736861223,0.9799862004700315,0.9799862004700315
Υ-L-Glutamyl-L-Glutamic Acid,-0.16500507645246892,0.4409988025266546,0.6173983235373164
L-Aspartic Acid,-0.1720849793932132,0.4213616615720207,0.6173983235373164
N-Acetylglutamic Acid,0.44806434934468037,0.028107602505314456,0.19675321753720118
N-Acetyl-1-Aspartylglutamic Acid,-0.08881863811464066,0.7096171781789937,0.8365862396873079
