Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
Υ-L-Glutamyl-L-Glutamic Acid,2.0127222290699613,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Υ-L-Glutamyl-L-Gl...
5-Methyl D-Glutamate,1.4341806123298735,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,5-Methyl D-Glutamate
L-Aspartic Acid,1.378977265289767,C18-Pos-000393,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Aspartic Acid
N-Acetylglutamic Acid,1.3350532689443688,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglutamic ...
Histamine,0.9280707910528042,Amide-Neg-000145,Amines,Organonitrogen compounds,Histamine
Cysteinylglycine,0.9222396187076607,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Cysteinylglycine
Glycine,0.835197572401994,Amide-Neg-000011,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Glycine
L-Glutamic Acid,0.7579297276225849,Amide-Pos-000319,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Glutamic Acid
N-Acetyl-1-Aspartylglutamic Acid,0.5316307834582571,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-1-Aspart...
N-Acetyl-L-Aspartic Acid,0.4778429678213762,Amide-Neg-000557,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-L-Aspart...
L-Pyroglutamic Acid,0.462925690114294,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Pyroglutamic Acid
Acetylcholine,0.45043907887282847,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Acetylcholine
Dl-Pyroglutamic Acid,0.43246986466344084,Amide-Neg-000291,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Pyroglutamic Acid
N-Acetylglycine,0.33028014205763534,Amide-Neg-000219,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglycine
