Name,GW_corr_pval.correlation.cor,GW_corr_pval.p_value,GW_FDR
Calcitriol,0.37427182753681515,0.18737929837977654,0.5621378951393297
7-Oxocholesterol,0.37650912068744147,0.1120910183150758,0.40352766593427286
Progesterone,-0.053964550676714,0.8022468601355544,0.9626962321626652
Methasterone,-0.586048244893329,0.04523012438430618,0.2990343962446541
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",-0.12466231348403578,0.5616534011656775,0.7776739400755535
Cholest-4-En-3-One,0.37570735260082677,0.07040902695105501,0.31684062127974755
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",-0.6346261150343411,0.0011430120963391442,0.020574217734104595
Norethandrolone,-0.011626617778284781,0.9569992862046763,0.998612073925549
Methyl Deoxycholate,-0.15077325725697752,0.4819060463625232,0.7615196460804609
Solanidine,0.15227479728143747,0.47750171597208413,0.7615196460804609
"Cholan-24-Oic Acid, 12-Hydroxy-3-Oxo-, Methyl Ester (With Partial Stereo Definitions)",0.14212096283619,0.5076797640536406,0.7615196460804609
Methyltestosterone,0.06628839826978145,0.7637882087596812,0.9626962321626652
7α-Hydroxytestosterone,-0.191917403171044,0.3689722958802796,0.7615196460804609
"Cholestan-3-One, (5α)-",-0.2965529464982378,0.2321038287098813,0.596838416682552
Cortisone,-0.18591613353181624,0.3844115143579152,0.7615196460804609
Corticosterone,-0.010648731783844529,0.9665495791775673,0.998612073925549
Norgestrel,-0.4046460167956973,0.04983906604077568,0.2990343962446541
Cortisol,-4.1573730581054915e-4,0.998612073925549,0.998612073925549
