Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",-0.10454982507295685,19.341240817881687,-3.5005786248745587,0.001857171861215562,0.03342909350188012,-1.2814820446935888,C8-Pos-000321,Cholestane steroids,Steroids and steroid derivatives,Decreases with GW,*
Methasterone,-0.21811438932346544,17.176309781902685,-2.4567627022619507,0.029116953336506504,0.2333076722446613,-3.4357677415270134,C8-Pos-000124,Androstane steroids,Steroids and steroid derivatives,Decreases with GW,
Norgestrel,-0.21795430956286344,16.578512067125327,-2.1810147133899074,0.03888461204077689,0.2333076722446613,-4.002504965011391,C8-Pos-000681,Estrane steroids,Steroids and steroid derivatives,Decreases with GW,
7-Oxocholesterol,0.10474182797971025,20.140495981032974,1.728397789398997,0.09949117159719696,0.4076028288488694,-4.668917424260995,C8-Pos-000100,Cholestane steroids,Steroids and steroid derivatives,Increases with GW,
Cholest-4-En-3-One,0.03977339190359701,24.7608978020394,1.6419781018176451,0.11322300801357484,0.4076028288488694,-4.887983161353499,C8-Pos-000270,Cholestane steroids,Steroids and steroid derivatives,Increases with GW,
"Cholestan-3-One, (5α)-",-0.20602504638947286,18.01102711199437,-1.330692319414149,0.19921664545214623,0.5122713740198046,-5.008219004556298,C8-Pos-000611,Cholestane steroids,Steroids and steroid derivatives,Decreases with GW,
Calcitriol,0.06485969101765308,23.770182820096316,1.3739739764740506,0.18991993088666087,0.5122713740198046,-5.096394320345748,C8-Neg-000216,Vitamin D and derivatives,Steroids and steroid derivatives,Increases with GW,
Cortisone,-0.06811243157671143,18.3114367358244,-0.9246517370611212,0.36406201883135414,0.7442995721142989,-5.740089535597139,C8-Pos-000623,Hydroxysteroids,Steroids and steroid derivatives,Decreases with GW,
7α-Hydroxytestosterone,-0.03572456376255223,19.008624621847662,-0.9089121665458164,0.37214978605714943,0.7442995721142989,-5.753950724176413,C8-Pos-000589,Androstane steroids,Steroids and steroid derivatives,Decreases with GW,
Solanidine,0.03678915500995684,19.437511545744684,0.7359804695034783,0.4686507403130602,0.7566564612094269,-5.8914535666936665,C8-Pos-000378,Steroidal alkaloids,Steroids and steroid derivatives,Increases with GW,
Methyl Deoxycholate,-0.040642930863713726,20.560099218434463,-0.7343235795067273,0.4696417436962682,0.7566564612094269,-5.892638130931373,C8-Pos-000363,"Bile acids, alcohols and derivatives",Steroids and steroid derivatives,Decreases with GW,
"Cholan-24-Oic Acid, 12-Hydroxy-3-Oxo-, Methyl Ester (With Partial Stereo Definitions)",0.029873836740129976,21.08330318513427,0.677381748719473,0.5044376408062846,0.7566564612094269,-5.931792131429402,C8-Pos-000432,"Bile acids, alcohols and derivatives",Steroids and steroid derivatives,Increases with GW,
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",-0.024805539614002173,22.706245034091015,-0.5894445024595161,0.5608978896162675,0.7766278471609858,-5.986269332287483,C8-Pos-000157,Pregnane steroids,Steroids and steroid derivatives,Decreases with GW,
Cortisol,-2.087628073684162e-4,17.407063679224265,-0.0018735190881359438,0.9985230125736966,0.9985230125736966,-6.067855989969301,C8-Pos-000701,Hydroxysteroids,Steroids and steroid derivatives,Decreases with GW,
Corticosterone,-0.003718063449988216,18.766722083505726,-0.045111100791055715,0.9644948026013902,0.9985230125736966,-6.0843665203941235,C8-Pos-000625,Hydroxysteroids,Steroids and steroid derivatives,Decreases with GW,
Methyltestosterone,0.005803755700294712,18.460823786081793,0.25186066361336157,0.8033120961656963,0.9639745153988355,-6.118528444281155,C8-Pos-000522,Androstane steroids,Steroids and steroid derivatives,Increases with GW,
Progesterone,-0.011057353864529476,21.42044041330648,-0.2545252824119979,0.801189538565407,0.9639745153988355,-6.1256356332771436,C8-Pos-000112,Pregnane steroids,Steroids and steroid derivatives,Decreases with GW,
Norethandrolone,-0.0017273285170320727,21.710434346947952,-0.05234842693189698,0.9586706739152437,0.9985230125736966,-6.156447298619875,C8-Pos-000347,Pregnane steroids,Steroids and steroid derivatives,Decreases with GW,
