Name,Sub.Class,Class
7α-Hydroxytestosterone,Androstane steroids,Steroids and steroid derivatives
Methasterone,Androstane steroids,Steroids and steroid derivatives
Methyltestosterone,Androstane steroids,Steroids and steroid derivatives
"Cholan-24-Oic Acid, 12-Hydroxy-3-Oxo-, Methyl Ester (With Partial Stereo Definitions)","Bile acids, alcohols and derivatives",Steroids and steroid derivatives
Methyl Deoxycholate,"Bile acids, alcohols and derivatives",Steroids and steroid derivatives
7-Oxocholesterol,Cholestane steroids,Steroids and steroid derivatives
Cholest-4-En-3-One,Cholestane steroids,Steroids and steroid derivatives
"Cholestan-3-One, (5α)-",Cholestane steroids,Steroids and steroid derivatives
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",Cholestane steroids,Steroids and steroid derivatives
Norgestrel,Estrane steroids,Steroids and steroid derivatives
Corticosterone,Hydroxysteroids,Steroids and steroid derivatives
Cortisol,Hydroxysteroids,Steroids and steroid derivatives
Cortisone,Hydroxysteroids,Steroids and steroid derivatives
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",Pregnane steroids,Steroids and steroid derivatives
Norethandrolone,Pregnane steroids,Steroids and steroid derivatives
Progesterone,Pregnane steroids,Steroids and steroid derivatives
Solanidine,Steroidal alkaloids,Steroids and steroid derivatives
Calcitriol,Vitamin D and derivatives,Steroids and steroid derivatives
