Name,VIP_predictive,Compound.ID,Sub.Class,Class,Name_display
7-Oxocholesterol,2.25050146540029,C8-Pos-000100,Cholestane steroids,Steroids and steroid derivatives,7-Oxocholesterol
Norgestrel,1.49711289805958,C8-Pos-000681,Estrane steroids,Steroids and steroid derivatives,Norgestrel
Norethandrolone,1.4634687139113929,C8-Pos-000347,Pregnane steroids,Steroids and steroid derivatives,Norethandrolone
Cholest-4-En-3-One,1.4593327760993486,C8-Pos-000270,Cholestane steroids,Steroids and steroid derivatives,Cholest-4-En-3-One
Methyl Deoxycholate,1.2566148100015138,C8-Pos-000363,"Bile acids, alcohols and derivatives",Steroids and steroid derivatives,Methyl Deoxycholate
Cortisone,1.1648226175535472,C8-Pos-000623,Hydroxysteroids,Steroids and steroid derivatives,Cortisone
Progesterone,0.8846389669158214,C8-Pos-000112,Pregnane steroids,Steroids and steroid derivatives,Progesterone
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",0.832071247627094,C8-Pos-000321,Cholestane steroids,Steroids and steroid derivatives,Spectral Match To...
Methyltestosterone,0.7265408228592919,C8-Pos-000522,Androstane steroids,Steroids and steroid derivatives,Methyltestosterone
Corticosterone,0.6516847523501033,C8-Pos-000625,Hydroxysteroids,Steroids and steroid derivatives,Corticosterone
Solanidine,0.5741038579931674,C8-Pos-000378,Steroidal alkaloids,Steroids and steroid derivatives,Solanidine
"Cholestan-3-One, (5α)-",0.5678234281098113,C8-Pos-000611,Cholestane steroids,Steroids and steroid derivatives,"Cholestan-3-One, ..."
Methasterone,0.564241844961427,C8-Pos-000124,Androstane steroids,Steroids and steroid derivatives,Methasterone
Calcitriol,0.25152518522949835,C8-Neg-000216,Vitamin D and derivatives,Steroids and steroid derivatives,Calcitriol
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",0.11958085543254128,C8-Pos-000157,Pregnane steroids,Steroids and steroid derivatives,17-(1-Hydroxyethy...
Cortisol,0.09533650564822839,C8-Pos-000701,Hydroxysteroids,Steroids and steroid derivatives,Cortisol
"Cholan-24-Oic Acid, 12-Hydroxy-3-Oxo-, Methyl Ester (With Partial Stereo Definitions)",0.04100408683354528,C8-Pos-000432,"Bile acids, alcohols and derivatives",Steroids and steroid derivatives,Cholan-24-Oic Aci...
7α-Hydroxytestosterone,0.020127341213353425,C8-Pos-000589,Androstane steroids,Steroids and steroid derivatives,7α-Hydroxytestost...
