Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
Calcitriol,C8-Neg-000216,12,0.1252010296103154,23.583621043756487,23.956744596436142,0.022646630727540584,0.7074573900300175,1,FALSE,FALSE,Higher in Males,Calcitriol
7-Oxocholesterol,C8-Pos-000100,71,0.01600990682537252,20.661795087566787,19.836404835554916,-0.058815026033499196,0.28817832285670536,0.28817832285670536,FALSE,FALSE,Higher in Females,7-Oxocholesterol
Progesterone,C8-Pos-000112,85,0.47048642205878966,21.524636881103877,21.316243945509086,-0.014035651007446933,0.7771953021752298,1,FALSE,FALSE,Higher in Females,Progesterone
Methasterone,C8-Pos-000124,10,0.25562310754641265,16.960814931785364,17.47800257206693,0.0433348295649931,0.7771953021752298,1,FALSE,FALSE,Higher in Males,Methasterone
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",C8-Pos-000157,69,0.8852339144732017,22.734047901746944,22.67844216643509,-0.0035330438190607047,0.8852339144732017,1,FALSE,FALSE,Higher in Females,17-(1-Hydroxyethy...
Cholest-4-En-3-One,C8-Pos-000270,43,0.09987740276926413,24.670359377198743,24.851436226880054,0.010550499396716434,0.7074573900300175,1,FALSE,FALSE,Higher in Males,Cholest-4-En-3-One
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",C8-Pos-000321,48,0.28145768484462175,19.243457710160122,19.430875333293123,0.01398284447701821,0.7771953021752298,1,FALSE,FALSE,Higher in Males,Spectral Match To...
Norethandrolone,C8-Pos-000347,88,0.3708443333042211,21.813548508590628,21.607320185305277,-0.013704323541004346,0.7771953021752298,1,FALSE,FALSE,Higher in Females,Norethandrolone
Methyl Deoxycholate,C8-Pos-000363,90,0.3123214216762162,20.700542697244416,20.41965573962451,-0.0197100470935914,0.7771953021752298,1,FALSE,FALSE,Higher in Females,Methyl Deoxycholate
Solanidine,C8-Pos-000378,76,0.8398599725400034,19.521743986956064,19.353279104533307,-0.01250391395363835,0.8852339144732017,1,FALSE,FALSE,Higher in Females,Solanidine
"Cholan-24-Oic Acid, 12-Hydroxy-3-Oxo-, Methyl Ester (With Partial Stereo Definitions)",C8-Pos-000432,76,0.8398599725400034,21.095888934950132,21.070717435318407,-0.0017224436647890816,0.8852339144732017,1,FALSE,FALSE,Higher in Females,Cholan-24-Oic Aci...
Methyltestosterone,C8-Pos-000522,55,0.5181302014501532,18.433988419587905,18.490098731347853,0.004384678786970452,0.7771953021752298,1,FALSE,FALSE,Higher in Males,Methyltestosterone
7α-Hydroxytestosterone,C8-Pos-000589,84,0.5067205148778585,19.077617388951715,18.939631854743606,-0.01047271562498443,0.7771953021752298,1,FALSE,FALSE,Higher in Females,7α-Hydroxytestost...
"Cholestan-3-One, (5α)-",C8-Pos-000611,46,0.625062725233368,18.21620929129829,17.846881368551234,-0.029550777924396046,0.7980066505224349,1,FALSE,FALSE,Higher in Females,"Cholestan-3-One, ..."
Cortisone,C8-Pos-000623,80,0.6650055421020291,18.43572460305493,18.187148868593873,-0.01958472684801686,0.7980066505224349,1,FALSE,FALSE,Higher in Females,Cortisone
Corticosterone,C8-Pos-000625,30,0.39861511972572516,18.62325689093164,18.946053574223342,0.02479197135440887,0.7771953021752298,1,FALSE,FALSE,Higher in Males,Corticosterone
Norgestrel,C8-Pos-000681,97,0.1572127533400039,16.888740256086727,16.26828387816393,-0.053999649577725045,0.7074573900300175,1,FALSE,FALSE,Higher in Females,Norgestrel
Cortisol,C8-Pos-000701,42,0.5707503880581739,17.08928559709215,17.724841761356384,0.05268066020517815,0.7902697680805485,1,FALSE,FALSE,Higher in Males,Cortisol
