Name,VIP_predictive,Compound.ID,Sub.Class,Class,Name_display
7-Oxocholesterol,2.065918155259136,C8-Pos-000100,Cholestane steroids,Steroids and steroid derivatives,7-Oxocholesterol
Norgestrel,1.4347083919665775,C8-Pos-000681,Estrane steroids,Steroids and steroid derivatives,Norgestrel
Norethandrolone,1.4190359419387395,C8-Pos-000347,Pregnane steroids,Steroids and steroid derivatives,Norethandrolone
Cholest-4-En-3-One,1.263765285367896,C8-Pos-000270,Cholestane steroids,Steroids and steroid derivatives,Cholest-4-En-3-One
Cortisone,1.0004865459289274,C8-Pos-000623,Hydroxysteroids,Steroids and steroid derivatives,Cortisone
Progesterone,0.8870339128411706,C8-Pos-000112,Pregnane steroids,Steroids and steroid derivatives,Progesterone
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",0.7935969503229393,C8-Pos-000321,Cholestane steroids,Steroids and steroid derivatives,Spectral Match To...
Methyltestosterone,0.7684074139830008,C8-Pos-000522,Androstane steroids,Steroids and steroid derivatives,Methyltestosterone
Corticosterone,0.7053065241196654,C8-Pos-000625,Hydroxysteroids,Steroids and steroid derivatives,Corticosterone
"Cholestan-3-One, (5α)-",0.5336220966336176,C8-Pos-000611,Cholestane steroids,Steroids and steroid derivatives,"Cholestan-3-One, ..."
Methasterone,0.514096519249385,C8-Pos-000124,Androstane steroids,Steroids and steroid derivatives,Methasterone
Cortisol,0.06538582832594356,C8-Pos-000701,Hydroxysteroids,Steroids and steroid derivatives,Cortisol
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",0.058564124401728465,C8-Pos-000157,Pregnane steroids,Steroids and steroid derivatives,17-(1-Hydroxyethy...
7α-Hydroxytestosterone,0.02386652334988223,C8-Pos-000589,Androstane steroids,Steroids and steroid derivatives,7α-Hydroxytestost...
