Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
7-Oxocholesterol,1.7675220017802917,C8-Pos-000100,Cholestane steroids,Steroids and steroid derivatives,7-Oxocholesterol
Cholest-4-En-3-One,1.3719213744808307,C8-Pos-000270,Cholestane steroids,Steroids and steroid derivatives,Cholest-4-En-3-One
Norethandrolone,1.0851310443661284,C8-Pos-000347,Pregnane steroids,Steroids and steroid derivatives,Norethandrolone
Progesterone,0.9976026982898268,C8-Pos-000112,Pregnane steroids,Steroids and steroid derivatives,Progesterone
Norgestrel,0.9926441049821164,C8-Pos-000681,Estrane steroids,Steroids and steroid derivatives,Norgestrel
7α-Hydroxytestosterone,0.9580165276494111,C8-Pos-000589,Androstane steroids,Steroids and steroid derivatives,7α-Hydroxytestost...
Methyltestosterone,0.9458457384510371,C8-Pos-000522,Androstane steroids,Steroids and steroid derivatives,Methyltestosterone
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",0.9289905593472515,C8-Pos-000321,Cholestane steroids,Steroids and steroid derivatives,Spectral Match To...
"Cholestan-3-One, (5α)-",0.8805045014800509,C8-Pos-000611,Cholestane steroids,Steroids and steroid derivatives,"Cholestan-3-One, ..."
Cortisone,0.8223215411668237,C8-Pos-000623,Hydroxysteroids,Steroids and steroid derivatives,Cortisone
Methasterone,0.7991563907717658,C8-Pos-000124,Androstane steroids,Steroids and steroid derivatives,Methasterone
Corticosterone,0.6787385111972,C8-Pos-000625,Hydroxysteroids,Steroids and steroid derivatives,Corticosterone
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",0.5624486984764754,C8-Pos-000157,Pregnane steroids,Steroids and steroid derivatives,17-(1-Hydroxyethy...
Cortisol,0.5412995894792646,C8-Pos-000701,Hydroxysteroids,Steroids and steroid derivatives,Cortisol
