Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
7-Oxocholesterol,-0.8253902520118702,20.140495981032974,-3.128431046490124,0.005462869443823052,0.07648017221352273,-2.1170004011881427,C8-Pos-000100,Cholestane steroids,Steroids and steroid derivatives,Higher in Females,
Cholest-4-En-3-One,0.18107684968131033,24.7608978020394,1.591001549542409,0.12454779786102853,0.5772098925889002,-4.886524224076307,C8-Pos-000270,Cholestane steroids,Steroids and steroid derivatives,Higher in Males,
Norethandrolone,-0.20622832328535257,21.710434346947952,-1.364515019531531,0.18492074438717812,0.5772098925889002,-5.188000074925871,C8-Pos-000347,Pregnane steroids,Steroids and steroid derivatives,Higher in Females,
Methasterone,0.5171876402815664,17.176309781902685,1.0146865553883957,0.32983422433651444,0.5772098925889002,-5.25943623454136,C8-Pos-000124,Androstane steroids,Steroids and steroid derivatives,Higher in Males,
Cortisol,0.6355561642642361,17.407063679224265,1.2244985502712609,0.2347999495775664,0.5772098925889002,-5.275173821352372,C8-Pos-000701,Hydroxysteroids,Steroids and steroid derivatives,Higher in Males,
Norgestrel,-0.6204563779227981,16.578512067125327,-1.2107746832104025,0.23763719624920418,0.5772098925889002,-5.370178656912651,C8-Pos-000681,Estrane steroids,Steroids and steroid derivatives,Higher in Females,
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",0.18741762313299845,19.341240817881687,1.0813841034343519,0.2906024617763787,0.5772098925889002,-5.488551429352827,C8-Pos-000321,Cholestane steroids,Steroids and steroid derivatives,Higher in Males,
Progesterone,-0.20839293559479252,21.42044041330648,-1.020950749464681,0.3173441883180302,0.5772098925889002,-5.568410364995028,C8-Pos-000112,Pregnane steroids,Steroids and steroid derivatives,Higher in Females,
Corticosterone,0.32279668329170014,18.766722083505726,0.76349746639871785,0.454909635887771,0.6290074918204588,-5.649069049281748,C8-Pos-000625,Hydroxysteroids,Steroids and steroid derivatives,Higher in Males,
"Cholestan-3-One, (5α)-",-0.36932792274706,18.01102711199437,-0.5862352928083868,0.5648875401539257,0.6552946253926142,-5.763407715035016,C8-Pos-000611,Cholestane steroids,Steroids and steroid derivatives,Higher in Females,
7α-Hydroxytestosterone,-0.13798553420810986,19.008624621847662,-0.7300695113902912,0.4723340823420755,0.6290074918204588,-5.811427215286333,C8-Pos-000589,Androstane steroids,Steroids and steroid derivatives,Higher in Females,
Cortisone,-0.24857573446105996,18.3114367358244,-0.6940806037817461,0.4942201721446462,0.6290074918204588,-5.836171992559478,C8-Pos-000623,Hydroxysteroids,Steroids and steroid derivatives,Higher in Females,
Methyltestosterone,0.056110311759947414,18.460823786081793,0.5192510991745551,0.608487866435999,0.6552946253926142,-5.918243988870102,C8-Pos-000522,Androstane steroids,Steroids and steroid derivatives,Higher in Males,
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",-0.055605735311855274,22.706245034091015,-0.27441268829050264,0.7860889987236908,0.7860889987236908,-6.034331042304681,C8-Pos-000157,Pregnane steroids,Steroids and steroid derivatives,Higher in Females,
