Compound.ID,Name,Super.Class,Class,Sub.Class,Best.Match,Annotation_Confidence,Exogenous_Flag,Flag_Reason
C18-Pos-002599,Azithromycin,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,environmental_exposure,Name matches pharmaceutical or pesticide keyword pattern
C18-Pos-000938,Caffeine,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,98.9,high,environmental_exposure,Name matches pharmaceutical or pesticide keyword pattern
C18-Pos-001062,Minoxidil,Organic nitrogen compounds,Organonitrogen compounds,Amines,94.5,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
Amide-Neg-000432,2-Methylbenzoic Acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,87.7,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-001250,Bis(2-Ethylhexyl) Phthalate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,99.5,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-001503,"Bis(3,5,5-Trimethylhexyl) Phthalate",Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,99.1,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-000974,Bisphenol A Diglycidyl Ether,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,95.9,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-000164,Dibutyl Hexanedioate,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,94.7,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-001801,Diisodecyl Phthalate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,89,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-000798,Erucamide,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,95.1,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-003286,Irgafos 168,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,91,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-000268,Mono(2-Ethylhexyl) Phthalate (Mehp),Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,99.7,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-000039,"N,N'-Diphenylguanidine",Benzenoids,Benzene and substituted derivatives,NA,98.5,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-001599,Oleamide,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,86.8,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-000692,Triphenyl Phosphate,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,95.3,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-002037,Victoria Pure Blue Bo,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,83.9,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
