Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Propionylcarnitine,11.645310256393596,19.113347712214267,3.6580953463759758,0.0013832958128756373,0.3210043029734597,-1.1278613815124423,C18-Pos-001104,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,4.005360649870397,19.62623668017055,3.476982525377535,0.002138891498979713,0.3210043029734597,-1.4546427439704734,C8-Pos-004574,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pe(26:4_19:6cooh),-9.040943499082765,23.51644232377141,-3.558857045184964,0.002616967280112122,0.3210043029734597,-1.763894173498917,C8-Pos-005302,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Peg N7,5.953399798013124,20.859868215411925,3.2826843811061033,0.0033987001172633017,0.3210043029734597,-1.802802591217859,C18-Pos-002054,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
5-Methylcytidine,5.189642467271845,23.89088597287179,3.216819167568652,0.003971371088745918,0.3210043029734597,-1.9200009481806375,Amide-Pos-001025,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Higher in Males,
D-Panthenol,-18.005742558459296,15.640626858390384,-4.354860718676407,6.597203917355372e-4,0.3210043029734597,-2.018367076047095,C18-Pos-001025,Organic oxygen compounds,Organooxygen compounds,Higher in Females,
Pc(15:1cho_22:2),4.801744126924971,15.177072328192617,3.2727007355773297,0.0042283364988090965,0.3210043029734597,-2.0226626286047096,C8-Pos-004631,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Guanosine,3.6751166803293374,26.054315701558952,3.1349029941363136,0.004815064544601896,0.3210043029734597,-2.0650269674449757,C18-Pos-001618,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Higher in Males,
Ps 40:5,57.06130589821307,15.263164794344641,3.4024777581743146,0.004719553135953047,0.3210043029734597,-2.3120642244716105,C8-Neg-003404,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Methyl Dihydrogen Phosphate,3.628776703273254,17.708060207325516,2.9721625847770863,0.007033380276646578,0.41199768451293056,-2.3502601968515426,C18-Neg-000020,Organic acids and derivatives,Organic phosphoric acids and derivatives,Higher in Males,
"6-Chloro-5-Methyl-1h-1,2,3-Benzotriazole",13.847505639596376,15.933017970004407,2.888184716217699,0.009090360957205343,0.4271624274944459,-2.554218057665611,Amide-Neg-000647,Organoheterocyclic compounds,Benzotriazoles,Higher in Males,
5-Methylcytosine,-9.671672843150363,24.7378632611864,-2.840002190052355,0.009527372331278688,0.4271624274944459,-2.578480371384219,Amide-Pos-000296,Organoheterocyclic compounds,Diazines,Higher in Females,
S-Adenosylmethionine,3.1403728583750548,26.6293042310774,2.8201968810583904,0.009967123308203738,0.4271624274944459,-2.6123776013252593,Amide-Pos-001585,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,Higher in Males,
Dl-Dipalmitoylphosphatidylcholine,7.668642885030115,21.571051086718445,3.2633611882514804,0.00755329088273706,0.41199768451293056,-2.6258801415108244,C8-Pos-003901,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pc(19:2cooh_21:6),3.8514135996994714,17.97499355341092,2.7084786924703375,0.012831821893184495,0.5119816883181281,-2.8019359550622576,C8-Neg-003658,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pe 18:0_24:5,2.7804806445929,29.011150134498223,2.680823033440489,0.013652845021816748,0.5119816883181281,-2.8484006789740994,C8-Pos-004731,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
