Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Furans,1,Class,112,0.022576062523133586,23.417263175414433,23.385696450331018,-0.0019460805472396316,Furans,0.7151032426016727,1,FALSE,FALSE,TRUE,Higher in Females
Benzodioxoles,1,Class,92,0.03779708390871804,23.691633711640495,23.305227758393283,-0.02372407421477231,Benzodioxoles,0.7151032426016727,1,FALSE,FALSE,TRUE,Higher in Females
(3'->5')-dinucleotides and analogues,1,Class,107,0.046386593281398644,16.8477530621937,15.690562827671052,-0.10265909265951313,(3'->5')-dinucleo...,0.7151032426016727,1,FALSE,FALSE,TRUE,Higher in Females
Pyrroles,1,Class,35,0.0537840888623983,16.498673180179807,15.24421040657172,-0.11408858186188374,Pyrroles,0.7151032426016727,1,FALSE,FALSE,FALSE,Higher in Females
"Linear 1,3-diarylpropanoids",3,Class,39,0.060601969712006154,18.270854052873602,18.60900147406388,0.02645657213856479,"Linear 1,3-diaryl...",0.7151032426016727,1,FALSE,FALSE,FALSE,Higher in Males
Pyrimidine nucleosides,5,Class,43,0.09987740276926413,22.776092632706984,23.03675051999111,0.01641696403718,Pyrimidine nucleo...,0.8285900829671717,1,FALSE,FALSE,FALSE,Higher in Males
Pyrimidine nucleotides,13,Class,100,0.11235119769046396,21.323334174485993,20.992069583315917,-0.02258863221318592,Pyrimidine nucleo...,0.8285900829671717,1,FALSE,FALSE,FALSE,Higher in Females
Organic phosphonic acids and derivatives,1,Class,44,0.11235119769046396,20.102588171137285,20.67687856621423,0.04063715151805638,Organic phosphoni...,0.8285900829671717,1,FALSE,FALSE,FALSE,Higher in Males
Biotin and derivatives,1,Class,61,0.1730582286388988,22.52871693380021,21.99816626574012,-0.03438188299920947,Biotin and deriva...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Fatty Acyls,44,Class,96,0.17485330689329268,19.837869134463453,19.5595330516159,-0.02038513938050993,Fatty Acyls,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophospholipids,170,Class,95,0.1939308522824107,19.74787815800817,19.674428770145074,-0.00537590001681104,Glycerophospholipids,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
5'-deoxyribonucleosides,3,Class,50,0.21449380778351745,22.638964476301016,22.855775893390344,0.013750825775007853,5'-deoxyribonucle...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Males
Organic phosphoric acids and derivatives,4,Class,90,0.3123214216762162,17.753799759546364,17.396695719746678,-0.029314520088590985,Organic phosphori...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Steroids and steroid derivatives,8,Class,54,0.3123214216762162,18.328088548885905,18.540350046080896,0.016612148739928456,Steroids and ster...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Males
Lactams,1,Class,11,0.3298591946554766,23.91540780652497,24.357443891953004,0.026422350096580317,Lactams,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Males
Hydroxy acids and derivatives,5,Class,88,0.3708443333042211,19.251162731427677,19.102423649828133,-0.011189890251704889,Hydroxy acids and...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
"Derivatized lipids (biotinylation, diazomethane)",1,Class,68,0.37873825188653026,20.14228030680661,19.816685113074076,-0.023511367856190537,Derivatized lipid...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Azoles,1,Class,86,0.4357306600317366,22.268078384654977,21.936869277125638,-0.021619420638198043,Azoles,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Peptidomimetics,3,Class,85,0.47048642205878966,20.260788550147478,19.77493322586725,-0.03501750179154748,Peptidomimetics,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Carboximidic acids and derivatives,3,Class,85,0.47048642205878966,18.619626517413888,18.398545770994236,-0.01723239527655466,Carboximidic acid...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Benzoxazoles,1,Class,65,0.5035147104262714,18.09447697021485,18.03022461800427,-0.0051320367268563715,Benzoxazoles,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
