pathway,cluster
Amino Sugar Metabolism (KEGG),1
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),2
Disorders of folate metabolism and transport (WikiPathways),3
Ethanol effects on histone modifications (WikiPathways),3
Folate metabolism (WikiPathways),4
Glucuronidation (WikiPathways),1
"Incretin synthesis, secretion, and inactivation (Reactome)",5
Methionine de novo and salvage pathway (WikiPathways),6
Nicotinamide salvaging (Reactome),7
Nicotinate metabolism (Reactome),8
One-carbon metabolism (WikiPathways),9
Peptide hormone metabolism (Reactome),5
Purinergic signaling (WikiPathways),10
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) (Reactome)",5
