Name,analysis,pathway,pathway_source,NES,pval,padj,set_size,direction,rank,t,logFC,P.Value,adj.P.Val
L-(+)-Lactic Acid,GW,Nicotinate metabolism (Reactome),Reactome,1.818350892148766,0.0018970427577732307,0.37427552479222925,7,Up,1,4.09350149798305,0.34934301314128324,4.7994905580748675e-4,0.08399108476631018
Nicotinamide,GW,Nicotinate metabolism (Reactome),Reactome,1.818350892148766,0.0018970427577732307,0.37427552479222925,7,Up,21,2.34426181019829,0.09165835794952616,0.02767237657076176,0.3724323273351007
L-Glutamine,GW,Nicotinate metabolism (Reactome),Reactome,1.818350892148766,0.0018970427577732307,0.37427552479222925,7,Up,33,2.085475982637608,0.07557251237313843,0.04783019900461353,0.4316632043236906
L(+)-Ornithine,GW,Methionine de novo and salvage pathway (WikiPathways),WikiPathways,-1.9078243274637368,0.003761563063238485,0.37427552479222925,12,Down,519,-2.8889381302688055,-0.3042447073116827,0.01189543835053865,0.2934483141359955
Adenosine,GW,Methionine de novo and salvage pathway (WikiPathways),WikiPathways,-1.9078243274637368,0.003761563063238485,0.37427552479222925,12,Down,511,-2.5049329583427324,-0.17249956957773027,0.01977575344758842,0.3489533714064663
Putrescine,GW,Methionine de novo and salvage pathway (WikiPathways),WikiPathways,-1.9078243274637368,0.003761563063238485,0.37427552479222925,12,Down,500,-2.08357627455122,-0.1920318091956224,0.04801758393230669,0.4316632043236906
Adenosine Triphosphate (Atp),GW,Methionine de novo and salvage pathway (WikiPathways),WikiPathways,-1.9078243274637368,0.003761563063238485,0.37427552479222925,12,Down,496,-2.04092343194605,-0.19371577406839915,0.05343283880978167,0.4316632043236906
L-(-)-Methionine,GW,Methionine de novo and salvage pathway (WikiPathways),WikiPathways,-1.9078243274637368,0.003761563063238485,0.37427552479222925,12,Down,493,-1.902158584799177,-0.08525056941942366,0.06921517549782388,0.4561391043844693
Choline,GW,Methionine de novo and salvage pathway (WikiPathways),WikiPathways,-1.9078243274637368,0.003761563063238485,0.37427552479222925,12,Down,462,-1.473242137119178,-0.09975220066588388,0.15367825997683623,0.5722062871477945
Adenosine Triphosphate (Atp),GW,Glucuronidation (WikiPathways),WikiPathways,-1.8067341755920445,0.005895978100652769,0.39109988067663365,9,Down,496,-2.04092343194605,-0.19371577406839915,0.05343283880978167,0.4316632043236906
