"Name","n_occurrences","compound_ids","is_duplicate"
"Adenosine",10,"Amide-Neg-001485; Amide-Neg-001694; Amide-Pos-001066; Amide-Pos-001071; C18-Neg-001272; C18-Neg-001273; C18-Pos-001459; C18-Pos-001460; C8-Pos-000198; C8-Pos-000303",TRUE
"Inosine",10,"Amide-Neg-001481; Amide-Neg-001482; Amide-Pos-001079; Amide-Pos-001221; C18-Neg-000907; C18-Neg-001158; C18-Pos-001467; C18-Pos-001468; C8-Neg-000235; C8-Pos-000443",TRUE
"N-Acetyl-Neuraminic Acid",9,"Amide-Neg-001754; Amide-Neg-001755; Amide-Pos-001246; Amide-Pos-001317; C18-Neg-001242; C18-Neg-001243; C18-Pos-001889; C18-Pos-002103; C8-Pos-000568",TRUE
"L-Glutathione (Reduced)",8,"Amide-Neg-001742; Amide-Neg-001745; Amide-Pos-001228; Amide-Pos-001233; C18-Neg-001219; C18-Neg-001220; C18-Pos-001855; C18-Pos-001856",TRUE
"Adenine",7,"Amide-Neg-000371; Amide-Neg-000373; Amide-Pos-000383; Amide-Pos-000391; C18-Neg-000075; C18-Pos-000420; C18-Pos-000422",TRUE
"Creatine",7,"Amide-Neg-000163; Amide-Neg-000317; Amide-Pos-000200; Amide-Pos-000339; C18-Neg-000057; C18-Pos-000373; C18-Pos-001431",TRUE
"L-Aspartic Acid",7,"Amide-Neg-000172; Amide-Neg-000336; Amide-Pos-000226; Amide-Pos-000380; C18-Neg-000068; C18-Pos-000393; C18-Pos-000395",TRUE
"L-Glutamic Acid",7,"Amide-Neg-000286; Amide-Neg-000489; Amide-Pos-000319; Amide-Pos-000320; C18-Neg-000044; C18-Pos-000348; C18-Pos-000557",TRUE
"L-Isoleucine",7,"Amide-Neg-000321; Amide-Neg-000322; Amide-Pos-000361; Amide-Pos-000362; Amide-Pos-000366; C18-Pos-000375; C18-Pos-000383",TRUE
"L-Threonine",7,"Amide-Neg-000234; Amide-Neg-000237; Amide-Pos-000255; Amide-Pos-000263; C18-Neg-000031; C18-Pos-000015; C18-Pos-000268",TRUE
"N-Acetyl-1-Aspartylglutamic Acid",7,"Amide-Neg-001718; Amide-Neg-001721; Amide-Pos-001213; C18-Neg-001189; C18-Neg-001194; C18-Pos-001811; C18-Pos-001815",TRUE
"Adenosine 5'-Diphosphate",6,"Amide-Neg-002081; Amide-Neg-002083; Amide-Pos-001676; Amide-Pos-001677; C18-Neg-001931; C18-Pos-003260",TRUE
"Adenosine 5'-Monophosphate",6,"Amide-Pos-001400; Amide-Pos-001405; C18-Neg-001549; C18-Neg-001550; C18-Pos-002282; C18-Pos-002286",TRUE
