Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
Tryptophan,1.8470710309544187,Amide-Pos-000761,Indolyl carboxylic acids and derivatives,Indoles and derivatives,Tryptophan
2'-Deoxyadenosine,1.4914795691520506,Amide-Pos-000996,Purine 2'-deoxyribonucleosides,Purine nucleosides,2'-Deoxyadenosine
N-Acetyl-1-Aspartylglutamic Acid,1.4727715731742628,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-1-Aspart...
Phenylacetylglutamine,1.4244320787643423,C18-Pos-001439,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Phenylacetylgluta...
Glycerophosphocholine,1.419060052801262,Amide-Pos-001017,Glycerophosphocholines,Glycerophospholipids,Glycerophosphocho...
Methyl L-Tryptophanate,1.3951890420843647,C18-Pos-001113,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Methyl L-Tryptoph...
2-(5-Oxovaleryl)Phosphatidylcholine,1.3525712385958437,C8-Pos-002923,Glycerophosphocholines,Glycerophospholipids,2-(5-Oxovaleryl)P...
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,1.289096884526689,Amide-Pos-002309,Glycerophosphocholines,Glycerophospholipids,1-Octadecanoyl-2-...
N-Acetylglutamic Acid,1.2827879923508547,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglutamic ...
5-Methyl D-Glutamate,1.2517264479104266,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,5-Methyl D-Glutamate
L-Glutamine,1.2385335135449478,Amide-Neg-000486,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Glutamine
D-(+)-Tryptophan,1.1826203114194294,C18-Pos-001015,Indolyl carboxylic acids and derivatives,Indoles and derivatives,D-(+)-Tryptophan
L-Phenylalanine,1.154843477991303,C18-Pos-000721,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Phenylalanine
Cytidine 5'-Diphosphocholine,1.1094701158453308,Amide-Pos-001779,Pyrimidine ribonucleotides,Pyrimidine nucleotides,Cytidine 5'-Dipho...
D-Tyrosine,1.092132476340459,Amide-Neg-000781,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,D-Tyrosine
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,1.0846393860235422,Amide-Pos-002276,Glycerophosphocholines,Glycerophospholipids,2-Oleoyl-1-Palmit...
Adenosine Triphosphate (Atp),1.0783055471788892,Amide-Neg-001422,Purine ribonucleotides,Purine nucleotides,Adenosine Triphos...
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",1.07407076692011,C8-Pos-004336,Glycerophosphocholines,Glycerophospholipids,1-Hexadecanoyl-2-...
Cysteinylglycine,1.039217781080259,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Cysteinylglycine
1-Myristoyl-Sn-Glycero-3-Phosphocholine,1.0331814902129006,Amide-Pos-001743,Glycerophosphocholines,Glycerophospholipids,1-Myristoyl-Sn-Gl...
1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,1.032236753709426,Amide-Pos-002228,Glycerophosphocholines,Glycerophospholipids,1-Oleoyl-2-Myrist...
Adenosine,1.0305451136460613,Amide-Pos-001066,NA,Purine nucleosides,Adenosine
1-Methyladenosine,1.029167043581032,Amide-Pos-001132,NA,Purine nucleosides,1-Methyladenosine
1-Oleoyl-Sn-Glycero-3-Phosphocholine,0.9988816095521259,C18-Pos-004585,Glycerophosphocholines,Glycerophospholipids,1-Oleoyl-Sn-Glyce...
"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",0.9827621861514972,C8-Pos-004898,Glycerophosphocholines,Glycerophospholipids,"1,2-Dieicosenoyl-..."
N6-Succinyladenosine; Lc-Tdda; Ce10,0.9822062233999439,C18-Pos-002703,NA,Purine nucleosides,N6-Succinyladenos...
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,0.9699992096514329,C8-Pos-004099,Glycerophosphocholines,Glycerophospholipids,1-Hexadecanoyl-2-...
L-Kynurenine,0.9290534208267377,C18-Pos-001046,Carbonyl compounds,Organooxygen compounds,L-Kynurenine
Acetyl-Β-Methylcholine,0.9262450389530693,Amide-Pos-000561,Quaternary ammonium salts,Organonitrogen compounds,Acetyl-Β-Methylch...
L-Aspartic Acid,0.9148595638068115,C18-Pos-000393,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Aspartic Acid
