Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
Glycine,Amide-Neg-000011,85,0.47048642205878966,18.422342349076295,18.22467983348013,-0.01556303783646986,0.9729425037266315,1,FALSE,FALSE,Higher in Females,Glycine
Histamine,Amide-Neg-000145,35,0.0537840888623983,16.498673180179807,15.24421040657172,-0.11408858186188374,0.6023817952588609,1,FALSE,FALSE,Higher in Females,Histamine
N-Acetylglycine,Amide-Neg-000219,64,0.6650055421020291,17.936246095884464,18.080084605864943,0.011523450849660008,0.9729425037266315,1,FALSE,FALSE,Higher in Males,N-Acetylglycine
Dl-Pyroglutamic Acid,Amide-Neg-000291,44,0.6775849579524755,15.731238599430133,15.834612736273243,0.009449318261855784,0.9729425037266315,1,FALSE,FALSE,Higher in Males,Dl-Pyroglutamic Acid
L-Glutamine,Amide-Neg-000486,92,0.26023620261718894,18.41302970135422,18.161335533043317,-0.019856730715606712,0.9729425037266315,1,FALSE,FALSE,Higher in Females,L-Glutamine
N-Acetyl-L-Aspartic Acid,Amide-Neg-000557,20,0.135833368168355,22.213971674862908,22.628372584469183,0.026665472876649516,0.9729425037266315,1,FALSE,FALSE,Higher in Males,N-Acetyl-L-Aspart...
D-Tyrosine,Amide-Neg-000781,64,0.9264448963254215,17.961540351976566,18.03107638929159,0.005574444432915525,1,1,FALSE,FALSE,Higher in Males,D-Tyrosine
Adenosine Triphosphate (Atp),Amide-Neg-001422,67,0.668216305163999,18.196050415302995,18.004304483902104,-0.01528346847505286,0.9729425037266315,1,FALSE,FALSE,Higher in Females,Adenosine Triphos...
Choline,Amide-Pos-000097,88,0.3708443333042211,20.406451124607578,20.07871362106554,-0.023358462439884417,0.9729425037266315,1,FALSE,FALSE,Higher in Females,Choline
L-Pyroglutamic Acid,Amide-Pos-000317,68,0.8398599725400034,20.45701712890535,20.5481985406078,0.00641611976206105,0.979836634630004,1,FALSE,FALSE,Higher in Males,L-Pyroglutamic Acid
L-Glutamic Acid,Amide-Pos-000319,64,0.549471691823942,33.99466943400272,33.3649459521189,-0.02697537411893795,0.9729425037266315,1,FALSE,FALSE,Higher in Females,L-Glutamic Acid
