Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
L-Pyroglutamic Acid,0.10695531829982792,20.502607834756574,2.262048200162043,0.03293067222259604,0.44679530099816556,-3.504530156576599,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Acetylcholine,0.11286125197791382,22.565054766485417,1.8574704366749355,0.07543182300146169,0.44679530099816556,-4.078866336631771,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Increases with GW,
N-Acetylglycine,0.11024431903150028,18.008165350874705,1.7333132838901708,0.09574185021389262,0.44679530099816556,-4.239669024122186,Amide-Neg-000219,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
L-Aspartic Acid,-0.03150093780737831,21.398300323843852,-1.1176824580795617,0.27465578721128286,0.8694026426941553,-4.905170992697162,C18-Pos-000393,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
N-Acetylglutamic Acid,-0.025032176750756682,25.514469076573562,-0.9557133703055773,0.3486499956474398,0.8694026426941553,-5.038806171361707,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
N-Acetyl-L-Aspartic Acid,-0.0361753667324273,22.4089838676188,-0.5960241137162927,0.5589016988748141,0.8694026426941553,-5.05954683138171,Amide-Neg-000557,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
Histamine,0.00847406827472608,15.919690361591458,0.05253936018408482,0.958883074590958,0.958883074590958,-5.131384884596832,Amide-Neg-000145,Amines,Organonitrogen compounds,Increases with GW,
Dl-Pyroglutamic Acid,0.058949565459843596,15.78292566785169,0.7094718006771127,0.48612310887885246,0.8694026426941553,-5.171994651151951,Amide-Neg-000291,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Υ-L-Glutamyl-L-Glutamic Acid,0.04685060370211152,16.710951181611996,0.6627221719636888,0.5146347229795392,0.8694026426941553,-5.195171896611259,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Cysteinylglycine,0.15019526693400492,26.106319449880782,0.6777055459167218,0.5043749034452958,0.8694026426941553,-5.222951879920733,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
L-Glutamic Acid,0.009257427014008661,33.664814276825474,0.07663760656961437,0.939628982525682,0.958883074590958,-5.339519102754503,Amide-Pos-000319,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
5-Methyl D-Glutamate,-0.014909590390240497,18.04314149064881,-0.32016150228420714,0.7515887713304585,0.958883074590958,-5.370499659692309,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
N-Acetyl-1-Aspartylglutamic Acid,0.014279547515714438,23.03403445079477,0.30756149099020125,0.7610425053652492,0.958883074590958,-5.3737998252332755,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Glycine,-0.012304766727823139,18.323511091278213,-0.19858134180676143,0.8442460337071446,0.958883074590958,-5.396850852747251,Amide-Neg-000011,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
