Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
N-Acetylglycine,1.438249665780304,Amide-Neg-000219,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglycine
L-Glutamic Acid,1.3397498012338611,Amide-Pos-000319,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Glutamic Acid
N-Acetyl-1-Aspartylglutamic Acid,1.2711796159026116,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-1-Aspart...
Cysteinylglycine,1.235786740311127,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Cysteinylglycine
5-Methyl D-Glutamate,1.0916023864573061,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,5-Methyl D-Glutamate
N-Acetylglutamic Acid,1.0845105688558494,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglutamic ...
Histamine,1.0163343720794424,Amide-Neg-000145,Amines,Organonitrogen compounds,Histamine
L-Aspartic Acid,0.9047938156394105,C18-Pos-000393,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Aspartic Acid
Glycine,0.8423808895164742,Amide-Neg-000011,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Glycine
Dl-Pyroglutamic Acid,0.8244921265227275,Amide-Neg-000291,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Pyroglutamic Acid
Acetylcholine,0.7189139030592555,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Acetylcholine
L-Pyroglutamic Acid,0.5970978532417409,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Pyroglutamic Acid
Υ-L-Glutamyl-L-Glutamic Acid,0.582592364332036,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Υ-L-Glutamyl-L-Gl...
N-Acetyl-L-Aspartic Acid,0.41463935864372714,Amide-Neg-000557,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-L-Aspart...
