Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
Glycine,Amide-Neg-000011,85,0.47048642205878966,18.422342349076295,18.22467983348013,-0.01556303783646986,0.9003959588935496,1,FALSE,FALSE,Higher in Females,Glycine
Histamine,Amide-Neg-000145,35,0.0537840888623983,16.498673180179807,15.24421040657172,-0.11408858186188374,0.7336595155866849,0.7529772440735762,FALSE,FALSE,Higher in Females,Histamine
N-Acetylglycine,Amide-Neg-000219,64,0.6650055421020291,17.936246095884464,18.080084605864943,0.011523450849660008,0.9003959588935496,1,FALSE,FALSE,Higher in Males,N-Acetylglycine
Dl-Pyroglutamic Acid,Amide-Neg-000291,44,0.6775849579524755,15.731238599430133,15.834612736273243,0.009449318261855784,0.9003959588935496,1,FALSE,FALSE,Higher in Males,Dl-Pyroglutamic Acid
N-Acetyl-L-Aspartic Acid,Amide-Neg-000557,20,0.135833368168355,22.213971674862908,22.628372584469183,0.026665472876649516,0.7336595155866849,1,FALSE,FALSE,Higher in Males,N-Acetyl-L-Aspart...
L-Pyroglutamic Acid,Amide-Pos-000317,68,0.8398599725400034,20.45701712890535,20.5481985406078,0.00641611976206105,0.9044645858123114,1,FALSE,FALSE,Higher in Males,L-Pyroglutamic Acid
L-Glutamic Acid,Amide-Pos-000319,64,0.549471691823942,33.99466943400272,33.3649459521189,-0.02697537411893795,0.9003959588935496,1,FALSE,FALSE,Higher in Females,L-Glutamic Acid
Acetylcholine,Amide-Pos-000467,79,0.7074539677020747,22.688184570033606,22.44192496293723,-0.015744745306977004,0.9003959588935496,1,FALSE,FALSE,Higher in Females,Acetylcholine
5-Methyl D-Glutamate,Amide-Pos-000563,74,0.9309874465595671,18.13164318222833,17.954639799069295,-0.014152965058180795,0.9309874465595671,1,FALSE,FALSE,Higher in Females,5-Methyl D-Glutamate
Cysteinylglycine,Amide-Pos-000635,47,0.1572127533400039,25.37583277785886,26.8368061219027,0.080757815928469,0.7336595155866849,1,FALSE,FALSE,Higher in Males,Cysteinylglycine
Υ-L-Glutamyl-L-Glutamic Acid,Amide-Pos-001105,63,0.5974062696275562,16.8974247177851,16.54142978509099,-0.03071944517947543,0.9003959588935496,1,FALSE,FALSE,Higher in Females,Υ-L-Glutamyl-L-Gl...
L-Aspartic Acid,C18-Pos-000393,77,0.7950121719642382,21.398987832203776,21.397612815483928,-9.27050173857655e-5,0.9044645858123114,1,FALSE,FALSE,Higher in Females,L-Aspartic Acid
N-Acetylglutamic Acid,C18-Pos-000763,84,0.5067205148778585,25.571061782888183,25.457876370258944,-0.006399988210618545,0.9003959588935496,1,FALSE,FALSE,Higher in Females,N-Acetylglutamic ...
N-Acetyl-1-Aspartylglutamic Acid,C18-Pos-001811,91,0.28547630885188235,23.1982062595589,22.869862642030643,-0.02056555620621739,0.9003959588935496,1,FALSE,FALSE,Higher in Females,N-Acetyl-1-Aspart...
