"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50"
"Amide-Neg-000001","L-(+)-Lactic acid","C3 H6 O3",191060835.74722,285493168.162453,121221325.167561,170031257.80435,338439706.248966,348333784.898537,444230309.012259,342348262.763533,339348421.325977,199730447.351169,190950998.124806,139049863.321801,142577984.668584,115693998.171758,241182939.26351,127022506.021432,256984136.858248,185270700.505845,339574439.873722,308739832.983426,346004409.789001,256539318.993671,391169480.5571,130743400.057722
"Amide-Neg-000003","2-Deoxyribose 5-phosphate","C5 H11 O7 P",96711318.7777476,79404930.6148469,NA,NA,NA,137856373.632521,153190080.42381,141547608.899004,NA,104223678.512501,NA,NA,NA,112892431.961271,NA,NA,112258586.121753,NA,167606654.287299,118094166.523039,NA,NA,NA,NA
"Amide-Neg-000004","Hypoxanthine","C5 H4 N4 O",15734247.4967578,45502481.4551963,16134145.5596383,71201449.4782157,85115306.0531929,44052969.261163,73297825.0973253,29915259.06462,260866665.855024,40308967.1285068,67306417.6119697,14563606.7036805,50046814.7550881,51755742.9187437,23620719.8080166,29690795.6993025,68678337.1977598,20891260.6377787,58637623.1899668,89349416.6403525,61860961.9563981,22761900.182859,44777638.8097317,34619867.9685436
"Amide-Neg-000005","Ascorbic acid","C6 H8 O6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186092778.252413,NA,NA,NA
"Amide-Neg-000007","Itaconic acid","C5 H6 O4",57402855.5693557,98903744.5572977,46164402.1745365,62646880.754681,128056391.015533,NA,117482061.703332,82979239.5310906,128278222.588325,99478771.9010396,NA,NA,75466152.1138928,NA,104959243.078339,55377082.9090338,120268101.307784,101686774.691338,103151011.851664,120209078.629542,104286993.319564,90388335.2966617,110255818.286139,NA
"Amide-Neg-000009","N-Acetylaspartic acid","C6 H9 N O5",NA,NA,NA,68372644.0018624,NA,82007684.8772026,97345542.3789864,118350362.831417,92907777.8966423,100872185.595096,39084854.742339,77439405.4439924,NA,NA,NA,62061138.5563312,NA,NA,156027615.561621,NA,NA,NA,97209300.1870959,120526544.646546
"Amide-Neg-000012","Ascorbic acid","C6 H8 O6",71320392.2454497,109008168.5111,NA,80791555.5977185,108365181.733377,96823859.703959,NA,52706526.2663164,NA,77759597.9656761,39132367.4002884,NA,56300275.7818736,72069971.51109,NA,NA,NA,100521906.582762,124397373.405985,NA,120846076.169621,85238466.8641943,NA,NA
"Amide-Neg-000013","β-Hydroxypropionic acid","C3 H6 O3",59557395.4692326,80308085.7595386,56854379.0537588,59584317.2622165,100185240.629516,83140991.3832911,114709153.070379,86865214.5564235,103421230.584974,92573253.4705469,NA,43290017.1642845,62375785.9151613,123518641.215814,59277492.3670909,47064768.2538955,77646214.5701849,112763663.245392,89670980.6895632,113880781.214544,90295047.0269831,75182055.5365378,98652461.6074275,101489803.968401
"Amide-Neg-000014","D-(-)-Erythrose","C4 H8 O4",NA,NA,NA,64731140.727903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amide-Neg-000015","Dehydroascorbic acid","C6 H6 O6",22376414.7365712,54747226.6897607,NA,33033577.365122,48690532.5863042,NA,67668190.0026307,NA,67670227.9464559,50089157.0757367,NA,NA,24694491.7294502,NA,30164198.507162,21859181.2601959,NA,NA,NA,53629402.5755793,37469244.7259609,24090454.8023074,44654729.8852491,57445213.8356412
"Amide-Neg-000016","INO","C10 H12 N4 O5",30434133.729233,48343499.8510905,37659939.0328737,56626462.726779,25377691.0948346,39350340.7836259,19386589.1831969,32006306.7445841,116079740.439322,62872047.9400678,29338407.4382909,31662005.2087761,68044243.0023131,42842828.0367265,46427938.1687413,52269704.8777989,59979616.9846733,62400570.02303,58629992.3959352,64510210.5923564,63212127.2475842,55450030.0634749,72254578.8034273,72192258.1447803
"Amide-Neg-000017","L-Threonic acid-1,4-lactone","C4 H6 O4",52828915.6850576,NA,47921726.8177415,43588458.1366041,NA,50687679.391227,98476859.8341186,58183233.9284389,67999146.5730378,64620582.934491,NA,30351571.6372048,52659851.0202121,109917914.253753,39451212.9353707,31857588.0940219,68491193.2860612,83586120.0793095,51058495.8067131,92467876.2062165,NA,NA,NA,78767256.7492325
"Amide-Neg-000018","L-Threonic acid","C4 H8 O5",NA,71314717.9532705,47921726.8177415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70706719.142043,63624275.5340153,72520353.6167301,NA
"Amide-Neg-000019","L-Threonic acid-1,4-lactone","C4 H6 O4",36269721.4256789,NA,47921726.8177415,NA,NA,52446891.6129518,NA,64360605.5145105,NA,72941408.2284852,19501548.0908126,25732825.4765577,NA,109917914.253753,NA,31857588.0940219,62476319.2575096,83586120.0793095,54994607.268876,NA,NA,NA,NA,NA
"Amide-Neg-000021","β-Hydroxypropionic acid","C3 H6 O3",53899572.7929113,NA,NA,NA,NA,83140991.3832911,NA,86865214.5564235,NA,81633842.8534292,24123201.0806796,43290017.1642845,NA,NA,NA,47064768.2538955,77646214.5701849,NA,89670980.6895632,NA,NA,NA,NA,NA
