"","transcriptId","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","entrezgene_id","hgnc_symbol"
"1","ENST00000005340.10","chr17",7234322,7234574,253,"*","Promoter (<=1kb)",17,7225342,7234517,9176,2,"1856",0,1856,"DVL2"
"2","ENST00000008527.10","chr12",107093581,107093850,270,"*","Promoter (<=1kb)",12,106991364,107093549,102186,2,"1407",-32,1407,"CRY1"
"3","ENST00000011691.6","chr3",42590607,42591048,442,"*","Promoter (<=1kb)",3,42590860,42596934,6075,1,"51188",0,51188,"SS18L2"
"4","ENST00000156084.8","chrX",48957642,48958165,524,"*","Promoter (<=1kb)",23,48922211,48957631,35421,2,"55593",-11,55593,"OTUD5"
"5","ENST00000159647.9","chr22",50161870,50162033,164,"*","Downstream (<=300bp)",22,50170731,50180292,9562,1,"56666",-8698,56666,"PANX2"
"6","ENST00000202677.12","chr20",20712645,20712882,238,"*","Promoter (<=1kb)",20,20389530,20712644,323115,2,"57186",-1,57186,"RALGAPA2"
"7","ENST00000209875.9","chr12",54279774,54280135,362,"*","Promoter (<=1kb)",12,54230942,54280122,49181,2,"23468",0,23468,"CBX5"
"8","ENST00000215570.8","chr19",2427647,2427918,272,"*","Promoter (<=1kb)",19,2425625,2427586,1962,2,"26517",-61,26517,"TIMM13"
"9","ENST00000216039.9","chr22",38700596,38701035,440,"*","Promoter (<=1kb)",22,38685543,38700667,15125,2,"9929",0,9929,"JOSD1"
"10","ENST00000216185.7","chr22",36481829,36482148,320,"*","Promoter (<=1kb)",22,36467046,36481640,14595,2,"25828",-189,25828,"TXN2"
"11","ENST00000216259.8","chr22",41589800,41590058,259,"*","Promoter (<=1kb)",22,41576900,41589840,12941,2,"5372",0,5372,"PMM1"
"12","ENST00000216799.9","chr14",24141952,24142174,223,"*","Promoter (<=1kb)",14,24138965,24141591,2627,2,"51016",-361,51016,"EMC9"
"13","ENST00000219251.13","chr16",67660341,67660871,531,"*","Promoter (<=1kb)",16,67657512,67660810,3299,2,"65057",0,65057,"ACD"
"14","ENST00000221431.11","chr19",38930526,38930782,257,"*","Promoter (<=1kb)",19,38915266,38930763,15498,2,"54938",0,54938,"SARS2"
"15","ENST00000222005.7","chr19",10403650,10403893,244,"*","Promoter (<=1kb)",19,10391133,10403542,12410,2,"11140",-108,11140,"CDC37"
"16","ENST00000222033.6","chr19",5454803,5454967,165,"*","Promoter (<=1kb)",19,5455417,5456856,1440,1,"148066",-450,148066,"ZNRF4"
"17","ENST00000228506.8","chr12",120686534,120687058,525,"*","Promoter (<=1kb)",12,120687149,120701859,14711,1,"9761",-91,9761,"MLEC"
"18","ENST00000229384.5","chr12",120446507,120446708,202,"*","Promoter (<=1kb)",12,120446577,120459921,13345,1,"283459",0,283459,"GATC"
"19","ENST00000230340.9","chr6",41921174,41921466,293,"*","Promoter (<=1kb)",6,41921499,41933046,11548,1,"705",-33,705,"BYSL"
"20","ENST00000231498.8","chr5",37371169,37371596,428,"*","Promoter (<=1kb)",5,37288137,37371106,82970,2,"9631",-63,9631,"NUP155"
"21","ENST00000233838.9","chr2",85561424,85561645,222,"*","Promoter (<=1kb)",2,85544720,85561493,16774,2,"2677",0,2677,"GGCX"
